"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-44.5861508174","52.1316033364226","","24.5743671682","-6.78880167424236","-16.4789981112696","24.2167083459256","29.5927917227153","12.7423925558553","-18.0871884395433","8.38572973566958","",
"Argentina","ARG","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7000007629","17.3803005219","-28.5112991333","33.4000015259","-25.1301326752","-31.6675872803","-51.4000015259","131.3899993896","24.6200008392","45.3879423329","57.6475466732","0.66903019213175","-56.160749787","97.8385758533","55.3178821686445","-30.2236032553253","-15.8729748197112","82.3969200485462","7.32253105849918","-10.2158387523919","13.9766567267658","",
"Armenia","ARM","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-22.4115388274438","28.5554932230591","-15.5935084655491","34.2412","0.410455210471916","9.84938297616626","17.9306320592375","-8.8839638525238","1.01379592093271","18.1843352953621","-8.74607449057219","-0.278196213139148","-2.12706256975032","47.1142700244307","29.0921634563034","11.7041905529075","28.5832151425395","25.1505157614917","-54.0847414573636","72.3744821747435","12.4909195260715","-15.7144146292547","15.0242886382768","-1.71123184588485","-8.28065385379522","-12.9619961086404","7.00705843849538","",
"Austria","AUT","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33296032183433","-19.2069590412596","-20.0922455117812","38.5882","-4.87826524913377","-4.29857199749673","2.16002117932035","-1.67093530013757","0.213363128421107","-6.52710532925679","-14.8616285818499","-5.33618151308396","18.2210790251795","57.1492478593941","61.3013164949202","21.8768485139343","37.1214172104393","-0.41915105424295","-65.3176795753793","57.0214923356471","10.9048179087599","-35.8361630708702","29.8517547112932","12.5680450801661","-21.0825851483827","0.819819900213004","4.1701634500833","",
"Azerbaijan","AZE","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
