Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-13,4761.8,4792.9,4761.8,4786.2,463144326,7288.59
02-Jan-13,4804.15,4830.9,4804.15,4818.9,613767891,10643.17
03-Jan-13,4831.65,4839.85,4814.8,4835.7,640778644,11247.72
04-Jan-13,4837.15,4846.35,4816.55,4844,743342265,11463.24
07-Jan-13,4858.65,4861.35,4823.9,4831.45,742363616,11335.42
08-Jan-13,4828.7,4840.75,4811.25,4837.95,628814618,10856.37
09-Jan-13,4840.65,4857.75,4808.05,4815.75,821766995,12619.55
10-Jan-13,4831.25,4843.15,4792.65,4809.2,766587245,11788.72
11-Jan-13,4833.6,4836,4770.55,4778.15,644547668,13104.63
14-Jan-13,4787,4843.6,4779.8,4836.7,574456297,12002.68
15-Jan-13,4844.35,4867.8,4833.6,4858.9,600713885,12298.08
16-Jan-13,4854.7,4860.75,4801.05,4807.55,601240983,12057.04
17-Jan-13,4807.3,4842.1,4803.8,4831.35,584896236,12932.99
18-Jan-13,4842.85,4861.7,4834.4,4844.05,622166307,14155
21-Jan-13,4855.9,4862.3,4845.4,4856,531437438,11003.13
22-Jan-13,4854.9,4872.7,4817.6,4822.35,581198658,11811.53
23-Jan-13,4824.95,4841.35,4786.8,4814.8,681086961,12062.1
24-Jan-13,4809.95,4820.95,4758.25,4763.85,889680966,14235.39
25-Jan-13,4766.9,4819.5,4757.85,4816.45,819234194,12365.51
28-Jan-13,4820.7,4831.05,4808.8,4818.3,544113756,10379.8
29-Jan-13,4812.7,4845.7,4790.9,4794.8,727496523,14347.42
30-Jan-13,4803.35,4814.75,4788.85,4797.15,611815741,11513.15
31-Jan-13,4791.5,4803.65,4784.2,4795.3,918873976,15422.73
01-Feb-13,4798.9,4814.5,4769.1,4775.9,672545141,11470.83
04-Feb-13,4790.7,4802.7,4755.55,4759.25,583134307,10892.93
05-Feb-13,4737.4,4743.5,4723.15,4733.6,564375371,10390.74
06-Feb-13,4751.15,4761.4,4734.55,4738.1,596189475,10924.73
07-Feb-13,4725.2,4753.9,4705.9,4713.25,568309551,10573.58
08-Feb-13,4707.9,4721,4668.9,4682.55,597349441,11844.86
11-Feb-13,4691.85,4692.25,4668.8,4677.85,423362594,8787.35
12-Feb-13,4675.9,4693.2,4659.85,4690.3,669280126,9414.29
13-Feb-13,4701.85,4726.5,4682.9,4688.45,574689290,10461.26
14-Feb-13,4688.5,4693,4642.3,4650.35,648543851,12160.78
15-Feb-13,4634.8,4653.85,4616.9,4647.25,564577554,9515.72
18-Feb-13,4647.95,4669,4646.55,4659.6,419459135,7542.61
19-Feb-13,4660.75,4701.75,4652.1,4697.1,467442574,7616.9
20-Feb-13,4712,4718.1,4696,4698.35,589626136,9536.28
21-Feb-13,4679.4,4679.4,4617.2,4621.75,559255429,12705.38
22-Feb-13,4613.75,4640.45,4607.9,4621.8,486078552,9353.8
25-Feb-13,4633.4,4638.25,4590.5,4611.65,567835737,9163.37
26-Feb-13,4602.25,4602.25,4529.2,4537.1,538534011,9859.41
27-Feb-13,4550.45,4583.25,4527.3,4568.2,697288854,11380.72
28-Feb-13,4589.25,4608.5,4464.7,4477.5,1324765922,21223.11
01-Mar-13,4483,4515.75,4475.3,4499.75,670128620,11664.78
04-Mar-13,4491.35,4491.35,4450.6,4470.15,779974842,9878.54
05-Mar-13,4483.65,4542.5,4483.65,4539,662436703,10312.21
06-Mar-13,4557.1,4581.1,4555.25,4570.45,641064898,10578.72
07-Mar-13,4560.8,4608.35,4560.8,4601.55,513784231,9445.67
08-Mar-13,4613,4664.35,4613,4660.65,572770298,10642.2
11-Mar-13,4661,4682.7,4653.85,4661.25,487508823,9525.35
12-Mar-13,4662.65,4669.85,4622.5,4636.9,493675568,9110.25
13-Mar-13,4620.4,4620.4,4579.45,4585,495844749,8683.48
14-Mar-13,4582.15,4631.45,4540.4,4625.75,581968423,11334.56
15-Mar-13,4629.15,4655.85,4594.55,4598.2,615887464,11785.33
18-Mar-13,4566.95,4583.2,4556,4572.65,416772557,8185.75
19-Mar-13,4586.1,4587.45,4492.2,4500.85,624037871,12655.94
20-Mar-13,4497.75,4500.15,4438,4446.05,740546421,11719.33
21-Mar-13,4452.65,4489.3,4407.45,4413.5,661077842,11591.11
22-Mar-13,4413.95,4431.75,4386.3,4404.5,607737983,9853.27
25-Mar-13,4436.1,4453.65,4382.5,4390.3,593864153,9527.23
26-Mar-13,4379,4400.55,4376.85,4394.6,488800196,8272.64
28-Mar-13,4397.85,4444.15,4370.15,4438.35,740669186,13485.04
01-Apr-13,4449.35,4471.2,4441.4,4465.6,437234665,6595.24
02-Apr-13,4460.9,4511.2,4459.35,4508.8,515164915,8259.05
03-Apr-13,4504,4515.3,4442.05,4457.2,631450536,9859.53
04-Apr-13,4433.2,4433.4,4373.25,4378.65,520184267,8678.93
05-Apr-13,4373.6,4386.5,4353.35,4366.65,497281859,9061.15
08-Apr-13,4365.65,4381.3,4358.5,4361.15,377216908,6566.47
09-Apr-13,4379.15,4404,4319.15,4323.4,474927172,8866.14
10-Apr-13,4349.1,4370.45,4305,4366.45,522235755,9106.15
11-Apr-13,4393.65,4397.8,4353.7,4388.05,486208423,9857.51
12-Apr-13,4343.65,4362.85,4335.6,4352.75,432386104,10541.43
15-Apr-13,4338.55,4395.7,4335.65,4376.05,469185445,10950.82
16-Apr-13,4368.65,4463.6,4368.65,4457.55,528401499,10144.58
17-Apr-13,4471.2,4496.25,4449.9,4461.75,588553853,12451.21
18-Apr-13,4457.7,4532.65,4457.7,4526.8,519364950,11087.09
22-Apr-13,4531.75,4581.05,4531.75,4574.4,593373532,10757
23-Apr-13,4581.05,4581.05,4540.6,4572.4,544324030,9451.9
25-Apr-13,4586.15,4628.25,4586.15,4624.3,678171060,14980.31
26-Apr-13,4615.95,4620.65,4583.95,4591.65,497774791,10732.18
29-Apr-13,4595.55,4628.15,4593,4620.9,470178715,9034.44
30-Apr-13,4640.05,4658.35,4595.2,4641.75,551857569,11563.15
02-May-13,4630.4,4706.4,4630.4,4695.05,562600174,12116.38
03-May-13,4692.1,4696.6,4651.05,4659.1,573313452,11336.71
06-May-13,4659.55,4688.3,4652.25,4685.6,467999582,8541.48
07-May-13,4694.7,4741.6,4694.7,4737.55,518889030,10108.59
08-May-13,4751.7,4760.85,4725.25,4754.45,524008420,9415.12
09-May-13,4760,4764,4731.1,4737.7,495415859,9505.2
10-May-13,4735.6,4774.4,4735.6,4769.2,451334686,9142.37
11-May-13,4765.1,4783.8,4765.1,4779.75,57038822,836.97
13-May-13,4773.9,4776.45,4684.35,4689.75,425934801,8009.17
14-May-13,4694.8,4721.5,4684.35,4702.5,407804938,8449.3
15-May-13,4718.55,4815.05,4718.55,4810.95,617235740,12256.21
16-May-13,4799.8,4844.9,4799.8,4830.25,596788586,11929.27
17-May-13,4832.75,4853.55,4814.55,4847.1,600740997,10898.96
20-May-13,4854.95,4877.65,4815,4821.95,517751037,10155.65
21-May-13,4819.05,4833.75,4780.3,4788.2,485135923,9638.97
22-May-13,4798.3,4814.05,4753.15,4766.85,478322366,10255.58
23-May-13,4737.3,4751.6,4659.85,4668.2,620703121,12940.27
24-May-13,4695.4,4699.9,4644.6,4685.6,485605889,10349.34
27-May-13,4690.45,4764.35,4684.4,4756.4,387208816,8871.24
28-May-13,4759,4789.25,4743.95,4777.05,440132376,9517.7
29-May-13,4781.75,4783.9,4745,4766.65,457012678,9091.83
30-May-13,4745.1,4777.7,4745.1,4774,623688138,13342.16
31-May-13,4759.2,4759.2,4675.8,4681.45,634656843,13305.22
03-Jun-13,4688.6,4693.65,4640.85,4659.3,452970666,9295.83
04-Jun-13,4662,4695.5,4645.15,4652.55,444446995,8986.94
05-Jun-13,4644.35,4663.25,4629.95,4656.5,442402779,8029.44
06-Jun-13,4634.55,4676.6,4619.05,4653.4,458826906,8681.32
07-Jun-13,4640.7,4687.8,4615.2,4621.1,459633378,8558.64
10-Jun-13,4638.75,4656.7,4590.55,4604.4,479486471,7854.23
11-Jun-13,4582.7,4593.95,4523.95,4529.85,603589439,10781.76
12-Jun-13,4516,4526,4487.8,4502.2,540303914,10710.23
13-Jun-13,4464.05,4478.05,4441.75,4447.4,504585345,9602.01
14-Jun-13,4480.85,4533.45,4480.85,4525.95,473273514,9051.66
17-Jun-13,4533.9,4560.25,4498.7,4557.5,430098635,8110.65
18-Jun-13,4553.05,4574.4,4534.45,4540.7,470609443,8354.82
19-Jun-13,4534.95,4556.45,4523.45,4552.7,441839326,8272.44
20-Jun-13,4504.65,4504.65,4424.45,4429.65,522559010,10586.03
21-Jun-13,4415.25,4446.8,4392.15,4420.15,606401247,10951.32
24-Jun-13,4400.8,4400.8,4331.7,4345.6,532405519,9709.74
25-Jun-13,4356.45,4389.2,4317.7,4350.1,630184264,11079.17
26-Jun-13,4365.5,4371.85,4330.1,4335.5,509314919,9406.63
27-Jun-13,4377,4400.55,4360.3,4393.9,677161821,13649.64
28-Jun-13,4441.35,4516.35,4441.35,4510.9,610394037,14042.68
01-Jul-13,4509.35,4574.55,4506.5,4572.05,550855369,9764.39
02-Jul-13,4564.65,4579.3,4539.55,4542.8,501373283,9416.4
03-Jul-13,4511.2,4511.2,4467.55,4473.35,515732397,9214.14
04-Jul-13,4490.55,4525.8,4482.8,4517.7,609349860,9830.15
05-Jul-13,4555.45,4566.6,4528.65,4535.8,426353502,7821.32
08-Jul-13,4511.15,4515.2,4470.6,4501.25,465418161,8580.87
09-Jul-13,4518.9,4542,4518.9,4539.95,467660444,8706.23
10-Jul-13,4548.6,4556.85,4504.05,4511.4,449904083,8581.54
11-Jul-13,4562.3,4600.15,4562.3,4586.45,430049554,8261.06
12-Jul-13,4626.05,4636.7,4595.35,4630.95,416783633,10001.67
15-Jul-13,4619.55,4659.2,4615.05,4655.7,491513328,8214.17
16-Jul-13,4586.15,4604.4,4573.55,4596.5,549743024,9991.87
17-Jul-13,4609.1,4623.55,4567.45,4597.7,641041143,13312.94
18-Jul-13,4606.15,4654.6,4601.4,4647.55,529156560,11951.54
19-Jul-13,4661.8,4662.2,4627.15,4632.75,498270797,11839.98
22-Jul-13,4618.65,4656.55,4618.65,4631.1,393750884,8401.21
23-Jul-13,4652.9,4673,4652.9,4660.75,446631853,9295.43
