DATE,GASREGW
2013-02-04,3.538
2013-02-11,3.611
2013-02-18,3.747
2013-02-25,3.784
2013-03-04,3.759
2013-03-11,3.710
2013-03-18,3.696
2013-03-25,3.680
2013-04-01,3.645
2013-04-08,3.608
2013-04-15,3.542
2013-04-22,3.536
2013-04-29,3.520
2013-05-06,3.538
2013-05-13,3.603
2013-05-20,3.673
2013-05-27,3.645
2013-06-03,3.646
2013-06-10,3.655
2013-06-17,3.626
2013-06-24,3.577
2013-07-01,3.496
2013-07-08,3.492
2013-07-15,3.639
2013-07-22,3.682
2013-07-29,3.646
2013-08-05,3.632
2013-08-12,3.561
2013-08-19,3.550
2013-08-26,3.552
2013-09-02,3.608
2013-09-09,3.587
2013-09-16,3.547
2013-09-23,3.495
2013-09-30,3.425
2013-10-07,3.367
2013-10-14,3.354
2013-10-21,3.360
2013-10-28,3.294
2013-11-04,3.265
2013-11-11,3.194
2013-11-18,3.219
2013-11-25,3.293
2013-12-02,3.272
2013-12-09,3.269
2013-12-16,3.239
2013-12-23,3.271
2013-12-30,3.331
2014-01-06,3.332
2014-01-13,3.327
2014-01-20,3.296
2014-01-27,3.295
2014-02-03,3.292
2014-02-10,3.309
2014-02-17,3.380
2014-02-24,3.444
2014-03-03,3.479
2014-03-10,3.512
2014-03-17,3.547
2014-03-24,3.549
2014-03-31,3.579
2014-04-07,3.596
2014-04-14,3.651
2014-04-21,3.683
2014-04-28,3.713
2014-05-05,3.684
2014-05-12,3.668
2014-05-19,3.665
2014-05-26,3.674
2014-06-02,3.690
2014-06-09,3.674
2014-06-16,3.686
2014-06-23,3.704
2014-06-30,3.704
2014-07-07,3.678
2014-07-14,3.635
2014-07-21,3.593
2014-07-28,3.539
2014-08-04,3.515
2014-08-11,3.505
2014-08-18,3.472
2014-08-25,3.454
2014-09-01,3.459
2014-09-08,3.457
2014-09-15,3.408
2014-09-22,3.353
2014-09-29,3.354
2014-10-06,3.299
2014-10-13,3.207
2014-10-20,3.120
2014-10-27,3.056
2014-11-03,2.993
2014-11-10,2.941
2014-11-17,2.894
2014-11-24,2.821
2014-12-01,2.778
2014-12-08,2.679
2014-12-15,2.554
2014-12-22,2.403
2014-12-29,2.299
2015-01-05,2.214
2015-01-12,2.139
2015-01-19,2.066
2015-01-26,2.044
2015-02-02,2.068
2015-02-09,2.191
2015-02-16,2.274
2015-02-23,2.332
2015-03-02,2.473
2015-03-09,2.487
2015-03-16,2.453
2015-03-23,2.457
2015-03-30,2.448
2015-04-06,2.413
2015-04-13,2.408
2015-04-20,2.485
2015-04-27,2.570
2015-05-04,2.664
2015-05-11,2.691
2015-05-18,2.744
2015-05-25,2.774
2015-06-01,2.780
2015-06-08,2.780
2015-06-15,2.835
2015-06-22,2.812
2015-06-29,2.801
2015-07-06,2.793
