"","Category","x"
"1","",1071.89
"2","Banking/Finance",17089.19
"3","CARE - A+",877.41
"4","CARE - AAA",2775.14
"5","Conglomerates",1043.01
"6","CRISIL - A1+",254.72
"7","CRISIL - AAA",10575.94
"8","CRISIL - AAA(SO)",3793.3
"9","Engineering",3377.92
"10","FITCH - AA",808.02
"11","Oil & Gas",3829.07
"12","Pharmaceuticals",1517.19
"13","Sovereign",5568.36
"14","Technology",3397.9
"15","Chemicals",463.69
"16","CRISIL - A+",631.41
"17","FITCH - AA+",795.56
"18","ICRA - AAA(SO)",49.62
"19","Manufacturing",819.31
"20","Miscellaneous",522.93
"21","Tobacco",1461.01
"22","Automotive",1723.81
"23","CARE - AA-",496.59
"24","ICRA - AA+",289.92
"25","Cement",310.25
"26","CRISIL - AA",1115.11
"27","CRISIL - AA+",542.42
"28","ICRA - AA-",424.28
"29","ICRA - AAA",11.99
"30","Metals & Mining",1838.16
"31","Utilities",1816.46
"32","FITCH - AA-",713.88
"33","CARE - AA-(SO)",147.31
"34","FITCH - A1+",19.96
"35","FITCH - AAA",315.27
"36","CARE - AA+",97.9
"37","CRISIL - AA-",430.52
"38","Food & Beverage",35.15
"39","ICRA - A1+",17.16
"40","Media",39.32
"41","CARE - A1+",5
"42","ICRA - A",7.14
"43","Cons Durable",50.79
