"","Category","x"
"1","",1125.83
"2","Automotive",1976.16
"3","Banking/Finance",16011.99
"4","BRICKWORK A+",198.58
"5","CARE AAA(SO)",1480.32
"6","Cement",553.87
"7","Chemicals",1018.03
"8","Cons NonDurable",20.49
"9","CRISIL AAA",12558.15
"10","Engineering",3136.28
"11","Food & Beverage",578.65
"12","ICRA AA",1410.7
"13","ICRA AAA",1004.88
"14","Manufacturing",1754.44
"15","Media",60.55
"16","Metals & Mining",2405.48
"17","Miscellaneous",287.67
"18","Oil & Gas",2547.1
"19","Pharmaceuticals",3259.23
"20","SOVEREIGN",5704.42
"21","Technology",2305.06
"22","Telecom",1930.47
"23","CARE A+",530.36
"24","Conglomerates",1017.98
"25","CARE AA+",1294.29
"26","CRISIL AA",1108.51
"27","CRISIL AA+",1361.07
"28","ICRA A+(SO)",357.28
"29","ICRA A2",217.3
"30","Services",1274.9
"31","Tobacco",317.29
"32","Utilities",178.7
"33","CARE A+(SO)",301.56
"34","CARE AAA",1241.11
"35","CARE AA",535.7
"36","CRISIL AA(SO)",585.09
"37","FITCH AA(SO)",348.72
"38","Real Estate",234.78
"39","CRISIL AA-",289.61
"40","CARE AA+(SO)",242.84
"41","CRISIL AAA(SO)",5.59
"42","ICRA AA(SO)",172.71
"43","FITCH AAA(SO)",171.07
"44","ICRA AA+",385.21
"45","BRICKWORK AA-(SO)",215.97
"46","FITCH AA+",295.54
"47","FITCH AAA",87.96
"48","ICRA AAA(SO)",339.93
