"","Category","x"
"1","",27700.92
"2","[ICRA]AA-",1062.3
"3","Banking/Finance",21941.2
"4","Conglomerates",169.7
"5","Cons NonDurable",1630.92
"6","CRISIL AA",1910.87
"7","CRISIL AAA",8868.49
"8","Engineering",4038.23
"9","ICRA AAA",3.65
"10","IRRPL IND AA+",3.99
"11","Manufacturing",1620.24
"12","Miscellaneous",914.43
"13","Oil & Gas",4133.4
"14","Pharmaceuticals",2741.81
"15","Technology",3860.68
"16","Telecom",3023.02
"17","Tobacco",2010.68
"18","[ICRA]A",7
"19","[ICRA]AAA",434.12
"20","Automotive",3164.74
"21","CARE AAA",405.55
"22","IND A+",883.86
"23","IND AA+",919.02
"24","[ICRA]AA",1233.28
"25","BWR AA- (SO)",1516.18
"26","BWR AA+",256.46
"27","BWR AAA",805.68
"28","Cement",579.39
"29","Food & Beverage",1550.86
"30","Chemicals",1703.56
"31","Cons Durable",78.54
"32","CRISIL A-",232
"33","CRISIL AA+",979.43
"34","IRRPL IND AAA",2.27
"35","Media",109.34
"36","IND AAA",661.52
"37","Metals & Mining",55.13
"38","Services",408.52
"39","Utilities",43.12
"40","CARE AA",65.02
"41","Real Estate",55.58
"42","Sovereign",300.27
"43","[ICRA]A (SO)",260.44
"44","[ICRA]AA (SO)",177.06
"45","CARE AA-",4.04
"46","ICRA AA",1.31
"47","IND A",366.8
"48","CARE AA (SO)",100.28
"49","CRISIL AA-",98.28
