"","Category","x"
"1","Automotive",1386.59
"2","Banking/Finance",2171.62
"3","Cons NonDurable",226.5
"4","CRISIL AA",1815.49
"5","CRISIL AA-(SO)",5.98
"6","CRISIL AA+",771.56
"7","CRISIL AAA",4419.93
"8","ICRA AA+",11.84
"9","ICRA AAA (SO)",159.78
"10","Media",0
"11","Metals & Mining",6.37
"12","Sovereign",1047.33
"13","Telecom",614.69
"14","BWR AAA",734.42
"15","Engineering",1182.62
"16","IND AAA",111.66
"17","Miscellaneous",148.53
"18","Oil & Gas",780.22
"19","Real Estate",707.49
"20","Technology",157.12
"21","Chemicals",696.34
"22","CRISIL AAA (SO)",112.2
"23","ICRA AA",39.91
"24","Tobacco",218.31
"25","BWR AA- (SO)",53.92
"26","Cement",1306.95
"27","Manufacturing",953.41
"28","Utilities",53.69
"29","Food & Beverage",429.39
"30","IND A-",53.66
"31"," CRISIL A+ ",2.06
"32","ICRA AA (SO)",50.26
"33","CRISIL A+",10.62
"34","",3.06
"35","CARE AAA",16.64
"36","ICRA A-",49.92
"37","ICRA AAA",69.88
"38","Services",0
