"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x","riskometer.y","riskometer"
"ICICI Prudential Advisor Series - Aggressive Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","2.1","2.9","5.1","18.6","17.5","10.4","12.3","26","30","35","12","9","18","8","8.0","-0.4","3.3","8.6","-5.5","4.0","5.6","-1.8","14.9","-1.9","1.5","6.1","1.2","0.6","-2.5","3.4","-1.6","-0.8","5.9","8.6","19.3","11.4","1.7","29.5","-0.5","64.23 (Jan 17, 18)","53.82 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.29",0,0.71,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1.2","Sep-17","1.0","Jun-17","0.6","Mar-17","0.4","Dec-16","0.4","Jun-16","0.3","Dec-15","0.3","Sep-15","0.3","Jun-15","0.2","Mar-15","0.2","Dec-14","0.1","Sep-14","0.1","Jun-14","0.1","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.0","Mar-13","0.0","HIGH","HIGH","HIGH"
"ICICI Prudential Advisor Series - Aggressive Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Nov 28, 2003","2.0","2.8","4.9","18.2","17.1","10.0","11.8","27","32","36","14","11","24","14","8.0","-0.5","3.2","8.4","-5.1","3.8","5.5","-1.9","14.8","-2.0","1.4","6.0","1.0","0.5","-2.6","3.3","-1.7","-0.9","5.7","8.5","18.9","11.0","1.1","28.8","-0.5","62.83 (Jan 17, 18)","52.82 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.29",0,0.71,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","7.0","Sep-17","6.7","Jun-17","6.5","Mar-17","6.3","Dec-16","6.2","Sep-16","6.0","Jun-16","5.6","Mar-16","5.5","Dec-15","6.7","Sep-15","6.9","Jun-15","7.1","Mar-15","7.3","Dec-14","7.0","Sep-14","6.8","Jun-14","6.6","Mar-14","6.3","Dec-13","6.2","Sep-13","6.1","Jun-13","6.6","Mar-13","7.1","HIGH","HIGH","HIGH"
"ICICI Prudential Advisor Series - Cautious Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.25%","","Jan 01, 2013","0.2","0.7","2.2","5.6","8.7","6.0","-","54","52","52","56","59","55","-","0.2","0.8","3.1","6.0","-","2.7","1.9","-1.9","11.3","-1.9","1.9","4.2","2.2","2.8","-3.4","0.6","2.0","-0.4","5.3","4.6","5.5","9.9","3.6","22.4","-1.1","32.40 (Jan 17, 18)","30.17 (Mar 10, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.53",0,0.46,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","30.8","Sep-17","30.5","Jun-17","29.7","Mar-17","25.7","Dec-16","12.2","Sep-16","1.9","Jun-16","0.4","Mar-16","0.1","Dec-15","0.1","Sep-15","0.1","Jun-15","0.0","Mar-15","0.0","Dec-14","0.0","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Advisor Series - Cautious Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.25%","","Nov 28, 2003","0.2","0.6","2.0","5.1","8.3","5.5","7.9","55","53","54","57","61","56","31","0.1","0.7","2.9","5.8","-0.8","2.6","1.8","-2.0","11.1","0.8","1.8","4.0","2.1","2.6","-3.6","0.5","1.8","-0.6","5.1","4.5","5.1","9.5","2.9","21.6","0.7","31.56 (Jan 17, 18)","29.49 (Mar 10, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.53",0,0.46,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","61.5","Sep-17","62.9","Jun-17","60.3","Mar-17","58.4","Dec-16","48.5","Sep-16","27.4","Jun-16","5.1","Mar-16","2.3","Dec-15","2.5","Sep-15","2.6","Jun-15","2.7","Mar-15","2.8","Dec-14","2.7","Sep-14","2.7","Jun-14","2.7","Mar-14","2.6","Dec-13","2.5","Sep-13","2.5","Jun-13","2.8","Mar-13","3.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Advisor Series - Dynamic Accrual Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Debt oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.50%","","Jan 01, 2013","0.2","0.9","2.4","6.4","9.3","9.7","9.4","3","1","1","1","1","1","1","1.2","2.5","2.7","1.8","1.7","2.5","2.3","0.2","3.5","2.9","1.7","3.7","6.8","2.0","-1.6","0.8","2.1","1.1","4.2","2.2","6.5","11.6","11.4","11.9","5.4","27.40 (Jan 17, 18)","25.60 (Feb 09, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"98.89",0,1.12,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","16.0","Sep-17","14.1","Jun-17","12.3","Mar-17","11.5","Dec-16","10.1","Sep-16","8.1","Jun-16","3.8","Mar-16","1.5","Dec-15","1.8","Sep-15","1.1","Jun-15","0.1","Mar-15","0.0","Dec-14","0.1","Sep-14","0.3","Jun-14","0.2","Mar-14","0.1","Dec-13","0.1","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Advisor Series - Dynamic Accrual Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Debt oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.50%","","Nov 28, 2003","0.2","0.8","2.2","6.0","8.9","9.3","9.1","4","2","2","2","3","2","2","1.1","2.4","2.6","2.0","2.0","2.4","2.2","0.2","3.5","2.8","1.6","3.6","6.7","1.9","-1.7","0.7","2.0","1.0","4.1","2.1","6.1","11.2","11.1","11.9","5.5","27.02 (Jan 17, 18)","25.35 (Feb 09, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"98.89",0,1.12,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","272.3","Sep-17","127.3","Jun-17","15.2","Mar-17","13.0","Dec-16","12.2","Sep-16","10.7","Jun-16","5.7","Mar-16","3.9","Dec-15","3.0","Sep-15","1.3","Jun-15","0.8","Mar-15","0.8","Dec-14","0.8","Sep-14","0.8","Jun-14","0.7","Mar-14","0.7","Dec-13","0.8","Sep-13","0.8","Jun-13","0.8","Mar-13","1.2","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Advisor Series - Moderate Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","1.2","1.5","3.1","14.2","15.8","9.9","11.7","36","48","48","32","23","25","15","5.9","0.6","3.4","7.0","-3.9","4.1","5.2","-1.7","11.9","-0.8","1.3","6.1","2.0","1.0","-2.0","1.9","-0.7","-0.7","6.3","8.0","14.8","12.9","2.9","25.8","2.0","51.12 (Jan 17, 18)","44.47 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.13",0,0.87,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","0.9","Sep-17","0.9","Jun-17","0.8","Mar-17","0.6","Dec-16","0.3","Sep-16","0.3","Jun-16","0.2","Mar-16","0.2","Dec-15","0.2","Sep-15","0.2","Jun-15","0.2","Mar-15","0.2","Dec-14","0.1","Sep-14","0.1","Jun-14","0.1","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Advisor Series - Moderate Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Nov 28, 2003","1.2","1.4","3.0","14.2","15.7","9.6","11.2","37","49","49","32","26","28","16","6.1","0.6","3.3","6.8","-3.7","4.0","5.2","-1.8","11.7","-0.9","1.2","6.0","1.8","0.9","-2.2","1.8","-0.8","-0.9","6.1","7.8","14.7","12.7","2.2","25.0","1.7","50.00 (Jan 17, 18)","43.52 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.13",0,0.87,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","5.2","Sep-17","5.1","Jun-17","4.9","Mar-17","4.9","Dec-16","5.2","Sep-16","5.1","Jun-16","4.9","Mar-16","4.8","Dec-15","5.0","Sep-15","5.1","Jun-15","5.1","Mar-15","5.4","Dec-14","5.1","Sep-14","5.1","Jun-14","5.0","Mar-14","4.8","Dec-13","4.8","Sep-13","4.6","Jun-13","4.9","Mar-13","5.2","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Advisor Series -Very Aggressive Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.1","0.1","1.6","14.6","17.0","-","-","52","56","56","25","10","7","-","9.1","2.2","-","-","-","4.0","4.2","-0.5","0.3","-","1.4","6.1","3.5","-","-","1.1","1.1","-0.8","-","-","17.0","15.1","2.1","0.3","-","70.47 (Nov 01, 17)","60.60 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.53",0,0.47,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","0.1","Sep-17","0.1","Jun-17","0.1","Mar-17","0.1","Dec-16","0.1","Sep-16","0.1","Jun-16","0.1","Mar-16","0.1","Dec-15","0.1","Sep-15","0.1","Jun-15","0.0","Jun-13","0.0","HIGH","HIGH","HIGH"
"ICICI Prudential Advisor Series -Very Aggressive Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Hybrid oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Nov 28, 2003","0.1","-","1.4","14.5","16.8","11.2","11.9","53","57","57","27","11","9","10","9.3","2.1","3.1","12.5","-6.4","3.9","4.1","-1.5","9.0","-3.4","1.3","6.0","3.3","1.5","2.2","1.0","1.0","-0.9","6.7","6.6","16.9","14.8","4.0","25.5","-0.3","69.99 (Nov 01, 17)","60.19 (Jan 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.53",0,0.47,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","4.8","Sep-17","4.8","Jun-17","4.7","Mar-17","4.6","Dec-16","4.4","Sep-16","4.5","Jun-16","4.5","Mar-16","4.4","Dec-15","4.5","Sep-15","4.5","Jun-15","4.6","Mar-15","4.8","Dec-14","4.7","Sep-14","4.6","Jun-14","4.5","Mar-14","4.3","Dec-13","4.4","Sep-13","4.3","Jun-13","4.8","Mar-13","5.3","HIGH","HIGH","HIGH"
