"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","asset_date","riskometer"
"CPSE Exchange Traded Fund ","Reliance Mutual Fund","Index","Open-Ended","Growth","5,194.1",5000,"N.A.","N.A.","N.A.","N.A.","","Mar 18, 2014","0.6","2.7","13","13.3","24.0","6.4","-","76","77","8","72","15","62","-","11.4","-9.4","-3.5","-","-","-8.4","8.0","2.7","35.3","-","7.4","11.1","-17.6","-7.2","-","6.2","3.4","2.9","2.9","-","18.9","16.4","-14.4","28.6","-","31.33 (Jan 10, 18)","26.00 (Jun 30, 17)","ONGC","IOC","Coal India","GAIL","Container Corp","Bharat Elec","REC","Power Finance","Oil India","EngineersInd","Oil & Gas","Oil & Gas","Metals & Mining","Oil & Gas","Services","Manufacturing","Banking/Finance","Banking/Finance","Oil & Gas","Engineering","1,261.79","907.16","784.78","735.22","346.36","327.89","288.74","250.21","154.45","132.64","24.29","17.47","15.11","14.16","6.67","6.31","5.56","4.82","2.97","2.54",99.9,0,0,"N.A",0.42,-0.32,"77.70","99.90","84.38","Oil & Gas","Metals & Mining","Banking/Finance","Services","Manufacturing","Engineering","58.89","15.11","10.38","6.67","6.31","2.54","57.23","19.79","11.12","5.03","4.53","2.07","57.23","19.79","11.12","5.03","4.53","2.07","-","-","-","-","-","-","-","-","-","-","Dec-17","5,179.9","Sep-17","5,561.1","Jun-17","6,856.8","Mar-17","5,695.8","Sep-16","2,179.1","Jun-16","1,932.1","Mar-16","1,890.9","Dec-15","2,047.3","Sep-15","2,172.5","Jun-15","2,376.0","Mar-15","2,413.8","Dec-14","2,533.3","Sep-14","2,587.0","Jun-14","2,481.0","Mar-14","133.3","Dec-29-2017","HIGH"
"Goldman Sachs CNX 500 Fund - Direct Plan (G) ","Reliance Mutual Fund","Index","Open-Ended","Growth","Sep-30-2016",10000,"N.A.","N.A.","N.A.","1.50%","S&P CNX 500","Jan 01, 2013","-3.7","0.5","12.6","8.2","4.4","14.9","-","81","78","11","74","72","10","-","-4.4","2.8","6.1","-8.4","-","8.4","-2.1","18.1","1.3","-","5.3","-4.4","3.8","-3.6","-","-3.3","0.9","5.7","10.9","-","8.1","-0.7","37.8","1.8","-","32.58 (Sep 08, 16)","24.74 (Feb 25, 16)","HDFC Bank","HDFC","Infosys","ITC","Reliance","ICICI Bank","TCS","Larsen","Tata Motors","Axis Bank","Banking/Finance","Banking/Finance","Technology","Tobacco","Oil & Gas","Banking/Finance","Technology","Engineering","Automotive","Banking/Finance","0.24","0.21","0.19","0.19","0.17","0.14","0.12","0.11","0.10","0.08","5.34","4.62","4.33","4.28","3.75","3.07","2.71","2.46","2.17","1.89",99.03,0.06,0,"N.A",0,0.9,"22.32","34.62","48.36","Banking/Finance","Technology","Automotive","Oil & Gas","Pharmaceuticals","Engineering","28.03","10.24","10.09","7.71","7.05","5.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","Sep-16","4.4","Jun-16","4.0","Mar-16","3.7","Dec-15","3.9","Sep-15","4.0","Jun-15","3.7","Mar-15","3.5","Dec-14","3.3","Sep-14","3.2","Jun-14","2.5","Mar-14","1.9","Dec-13","1.5","Sep-13","1.2","Jun-13","0.9","Mar-13","0.3","2.6","MODERATELY HIGH"
"Goldman Sachs CNX 500 Fund (G) ","Reliance Mutual Fund","Index","Open-Ended","Growth","Sep-30-2016",10000,"N.A.","N.A.","N.A.","1.50%","S&P CNX 500","Dec 15, 2008","-3.8","0.3","12.3","7.5","3.7","14.1","11.2","82","79","12","75","73","12","49","-4.5","2.6","5.9","-7.5","16.9","8.2","-2.3","17.9","1.2","-1.5","5.2","-4.6","3.6","-3.7","7.9","-3.3","0.7","5.5","10.7","4.6","7.5","-1.4","36.9","2.4","31.6","31.88 (Sep 08, 16)","24.30 (Feb 25, 16)","HDFC Bank","HDFC","Infosys","ITC","Reliance","ICICI Bank","TCS","Larsen","Tata Motors","Axis Bank","Banking/Finance","Banking/Finance","Technology","Tobacco","Oil & Gas","Banking/Finance","Technology","Engineering","Automotive","Banking/Finance","3.15","2.73","2.56","2.53","2.22","1.81","1.60","1.45","1.28","1.12","5.34","4.62","4.33","4.28","3.75","3.07","2.71","2.46","2.17","1.89",99.03,0.06,0,"N.A",0,0.9,"22.32","34.62","48.36","Banking/Finance","Technology","Automotive","Oil & Gas","Pharmaceuticals","Engineering","28.03","10.24","10.09","7.71","7.05","5.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","Sep-16","59.1","Jun-16","55.9","Mar-16","53.5","Dec-15","58.2","Sep-15","60.2","Jun-15","60.3","Mar-15","65.9","Dec-14","64.6","Sep-14","62.4","Jun-14","58.2","Mar-14","56.4","Dec-13","57.8","Sep-13","58.0","Jun-13","63.7","Mar-13","68.6","4.4","MODERATELY HIGH"
"Goldman Sachs India Equity Fund - Direct Plan (G) ","Reliance Mutual Fund","Diversified Equity","Open-Ended","Growth","2.6",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX 500","Jan 01, 2013","-4.2","0.1","13.1","8.3","11.0","23.9","-","238","221","78","219","221","2","-","-9.5","8.0","8.6","-7.1","-","12.3","-1.2","21.6","1.0","-","5.2","-2.6","6.4","-3.5","-","-4.1","2.6","10.8","15.6","-","5.4","9.1","55.9","6.9","-","21.90 (Oct 05, 16)","16.36 (Feb 29, 16)","Infosys","Axis Bank","HDFC Bank","IndusInd Bank","Maruti Suzuki","Muthoot Finance","ITC","Bajaj Finance","HDFC","HPCL","Technology","Banking/Finance","Banking/Finance","Banking/Finance","Automotive","Banking/Finance","Tobacco","Banking/Finance","Banking/Finance","Oil & Gas","0.16","0.14","0.13","0.10","0.09","0.07","0.07","0.06","0.05","0.05","5.91","5.32","4.78","3.99","3.60","2.69","2.54","2.20","1.88","1.80",97.53,0,0,"N.A",0,2.43,"23.60","34.71","43.44","Banking/Finance","Technology","Automotive","Miscellaneous","Chemicals","Pharmaceuticals","27.48","8.33","7.63","6.50","5.19","5.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","Sep-16","2.6","Jun-16","2.6","Mar-16","2.6","Dec-15","3.5","Sep-15","4.6","Jun-15","4.2","Mar-15","4.3","Dec-14","4.0","Sep-14","3.6","Jun-14","3.0","Mar-14","2.5","Dec-13","2.4","Sep-13","1.9","Jun-13","1.7","Mar-13","0.6","Sep-30-2016","MODERATELY HIGH"
"Goldman Sachs India Equity Fund (G) ","Reliance Mutual Fund","Diversified Equity","Open-Ended","Growth","42.3",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX 500","Oct 31, 2012","-4.2","-","12.7","7.6","10.2","23.0","-","239","222","91","220","223","4","-","-9.7","7.8","8.5","-6.9","-","12.2","-1.4","21.3","0.8","-","5.0","-2.7","6.2","-3.6","-","-4.1","2.4","10.6","15.5","6.1","4.8","8.2","54.8","6.7","6.1","21.37 (Oct 05, 16)","16.03 (Feb 29, 16)","Infosys","Axis Bank","HDFC Bank","IndusInd Bank","Maruti Suzuki","Muthoot Finance","ITC","Bajaj Finance","HDFC","HPCL","Technology","Banking/Finance","Banking/Finance","Banking/Finance","Automotive","Banking/Finance","Tobacco","Banking/Finance","Banking/Finance","Oil & Gas","2.50","2.25","2.02","1.69","1.52","1.14","1.08","0.93","0.80","0.76","5.91","5.32","4.78","3.99","3.60","2.69","2.54","2.20","1.88","1.80",97.53,0,0,"N.A",0,2.43,"23.60","34.71","43.44","Banking/Finance","Technology","Automotive","Miscellaneous","Chemicals","Pharmaceuticals","27.48","8.33","7.63","6.50","5.19","5.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","Sep-16","42.3","Jun-16","48.5","Mar-16","74.2","Dec-15","93.2","Sep-15","101.3","Jun-15","101.1","Mar-15","103.9","Dec-14","98.5","Sep-14","100.3","Jun-14","95.4","Mar-14","97.5","Dec-13","116.4","Sep-13","120.8","Jun-13","128.2","Mar-13","121.4","Sep-30-2016","MODERATELY HIGH"
"Goldman Sachs Short Term Fund - Direct Plan (G) ","Reliance Mutual Fund","Debt Short Term","Open-Ended","Growth","Sep-30-2015",10000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.5","1.7","3.5","7.5","7.9","-","-","14","9","17","22","80","-","-","1.8","1.8","1.5","-","-","1.7","1.9","1.6","-","-","0.8","1.9","2.1","-","-","-","1.9","2.0","-","-","4.5","8.0","7.6","-","-","14.27 (Aug 14, 15)","14.24 (Aug 03, 15)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,100,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-15","0.1","Jun-15","0.1","Mar-15","0.0","Dec-14","0.0","Sep-14","0.0","Jun-14","0.1","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.1","Mar-13","0.0","2,589.3","MODERATELY LOW"
"Goldman Sachs Short Term Fund (G) ","Reliance Mutual Fund","Debt Short Term","Open-Ended","Growth","Sep-30-2015",10000,"N.A.","N.A.","N.A.","N.A.","","Jul 12, 2010","0.5","1.6","3.3","7.2","7.6","7.5","7.2","16","12","20","25","98","94","99","1.7","1.8","1.7","1.9","1.3","1.6","1.8","1.5","1.7","1.4","0.8","1.9","2.0","1.7","1.6","-","1.9","1.9","1.8","1.8","4.3","7.7","7.6","7.6","6.6","14.17 (Aug 14, 15)","14.14 (Aug 03, 15)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,100,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-15","2.8","Jun-15","5.3","Mar-15","5.9","Dec-14","6.4","Sep-14","6.4","Jun-14","6.2","Mar-14","6.7","Dec-13","7.0","Sep-13","7.0","Jun-13","7.1","Mar-13","6.2","0.0","MODERATELY LOW"
"R*Shares Gold ETF ","Reliance Mutual Fund","Gold ETF","Open-Ended","Dividend","1,278.3",5000,"N.A.","N.A.","N.A.","N.A.","","Nov 01, 2007","-0.7","-4.4","1.5","16.3","7.3","0.7","0.8","13","13","13","1","1","12","1","15.2","-2.8","4.1","-2.8","3.8","8.3","1.0","-1.3","-15.6","3.5","-1.6","-1.2","-5.0","16.0","5.2","-1.3","-3.9","-","-7.6","-2.3","21.2","-8.0","-2.7","-11.1","10.9","2,913.12 (Jul 07, 16)","2,246.59 (Dec 03, 15)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,100.99,0,"N.A",0.14,-1.13,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-16","491.6","Sep-16","1,396.9","Jun-16","1,391.2","Mar-16","1,371.9","Dec-15","1,304.8","Sep-15","1,344.0","Jun-15","1,454.2","Mar-15","1,525.9","Dec-14","1,604.5","Sep-14","1,774.0","Jun-14","1,987.1","Mar-14","2,230.3","Dec-13","2,345.8","Sep-13","2,565.7","Jun-13","2,550.4","Mar-13","2,926.0","Oct-28-2016","MODERATELY HIGH"
"R*Shares Nifty ETF  ","Reliance Mutual Fund","Index","Open-Ended","Growth","30.3",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX Nifty","Nov 19, 2013","-3.6","-1.0","10.5","6.4","2.0","-","-","80","80","26","76","74","-","-","-2.5","2.8","6.6","-","-","8","-2.1","13.7","-","-","3.7","-5.4","4.8","-","-","-3.3","0.1","4.3","4.0","-","7.4","-2.8","33.0","4.0","-","93.04 (Sep 08, 16)","71.75 (Feb 25, 16)","HDFC Bank","HDFC","ITC","Infosys","Reliance","ICICI Bank","TCS","Larsen","Tata Motors","Kotak Mahindra","Banking/Finance","Banking/Finance","Tobacco","Technology","Oil & Gas","Banking/Finance","Technology","Engineering","Automotive","Banking/Finance","2.37","2.07","1.93","1.87","1.64","1.51","1.20","1.14","0.97","0.89","7.82","6.82","6.37","6.17","5.40","4.99","3.95","3.76","3.22","2.93",98.3,0,0,"N.A",1.71,-0.01,"32.58","51.43","56.56","Banking/Finance","Technology","Automotive","Oil & Gas","Pharmaceuticals","Tobacco","31.15","13.21","12.20","8.71","6.49","6.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-16","10.3","Sep-16","26.4","Jun-16","25.4","Mar-16","25.7","Dec-15","53.1","Sep-15","17.9","Jun-15","21.1","Mar-15","24.3","Dec-14","27.0","Sep-14","29.4","Jun-14","20.4","Mar-14","13.0","Dec-13","5.4","Oct-28-2016","MODERATELY HIGH"
"Reliance Arbitrage Advantage Fund - Direct Plan (G) ","Reliance Mutual Fund","Arbitrage & Arbitrage Plus","Open-Ended","Growth","4,658.0",5000,"N.A.","N.A.","N.A.","0.25%","","Jan 01, 2013","0.7","1.7","3.3","6.6","6.8","7.3","8.1","9","9","13","15","13","10","6","1.5","1.7","2.6","2.1","2.4","1.5","1.6","2.4","2.0","2.5","1.7","1.9","1.6","2.0","2.8","1.3","1.8","1.5","2.1","1.9","6.2","7.3","8.5","8.5","10.0","17.99 (Jan 17, 18)","16.90 (Jan 18, 17)","Vedanta","Sun Pharma","Indiabulls Hsg","Aurobindo Pharm","Axis Bank","Bharti Airtel","Federal Bank","Bank of Baroda","JSW Steel","IDFC","Metals & Mining","Pharmaceuticals","Banking/Finance","Pharmaceuticals","Banking/Finance","Telecom","Banking/Finance","Banking/Finance","Metals & Mining","Banking/Finance","188.18","162.56","139.74","119.24","102.94","102.94","82.91","80.58","77.79","71.27","4.04","3.49","3.00","2.56","2.21","2.21","1.78","1.73","1.67","1.53",71.25,0.5,25.71,"N.A",2.89,-0.35,"15.30","24.22","42.59","Banking/Finance","Pharmaceuticals","Metals & Mining","Engineering","Automotive","Telecom","23.12","10.62","8.85","4.74","3.42","3.37","17.73","4.74","6.62","2.46","6.85","2.06","17.73","4.74","6.62","2.46","6.85","2.06","Dec-17","4,658.0","Sep-17","2,970.1","Jun-17","2,469.9","Mar-17","2,055.6","Dec-16","1,777.2","Sep-16","1,579.2","Jun-16","1,408.3","Mar-16","2,995.5","Dec-15","1,401.2","Sep-15","1,398.7","Jun-15","656.8","Mar-15","132.7","Dec-14","90.3","Sep-14","174.8","Jun-14","124.3","Mar-14","198.3","Dec-13","88.7","Sep-13","0.5","Jun-13","0.2","Mar-13","0.0","Dec-29-2017","MODERATELY LOW"
