"Plan_name","fund_family","fund_class","fund_type","investment_plan","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","asset_size1","asset_date","riskometer"
"Sundaram Balanced Fund - Direct Plan (G) ","Sundaram Mutual Fund","Balanced","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","3.1","5.5","8.5","21.4","21.5","9.7","11.4","12","23","30","29","19","39","43","7.4","-2.9","1.0","3.5","-6.5","3.1","10.4","-2.7","11.8","1.0","2.0","5.8","-2.2","0.6","-1.4","6.4","-4.1","-1.1","6.9","8.5","21.7","11.4","-2.6","24.7","2.8","88.06 (Jan 15, 18)","72.07 (Jan 20, 17)","HDFC Bank","Infosys","Larsen","Reliance","NTPC","SBI","HUL","Kotak Mahindra","Schaeffler Ind","Bharat Fin","Banking/Finance","Technology","Engineering","Oil & Gas","Utilities","Banking/Finance","Cons NonDurable","Banking/Finance","Engineering","Banking/Finance","30.59","19.52","16.42","15.67","15.40","14.42","13.36","13.00","12.65","11.76","4.02","2.57","2.16","2.06","2.02","1.90","1.76","1.71","1.66","1.55",67.02,0,26.18,"N.A",5.56,1.23,"12.83","21.41","27.35","Banking/Finance","Engineering","Miscellaneous","Automotive","Technology","Oil & Gas","12.11","8.26","6.98","6.04","5.93","5.28","12.72","2.53","0.00","3.42","7.38","7.01","12.72","2.53","0.00","3.42","7.38","7.01","Dec-17","20.4","Sep-17","18.4","Jun-17","15.8","Mar-17","12.8","Dec-16","10.6","Sep-16","7.4","Jun-16","5.5","Mar-16","9.8","Dec-15","4.6","Sep-15","0.8","Jun-15","0.8","Mar-15","0.5","Dec-14","0.3","Sep-14","0.3","Jun-14","0.3","Mar-14","0.2","Dec-13","0.3","Sep-13","0.2","Jun-13","0.1","Mar-13","0.1","760.5","Nov-30-2017","MODERATELY HIGH"
"Sundaram Balanced Fund - Regular Plan (G) ","Sundaram Mutual Fund","Balanced","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jun 23, 2000","2.9","5.0","7.7","19.9","20.6","9.0","10.7","13","28","38","38","28","41","46","7.2","-3.0","0.9","3.2","-4.9","2.9","10.4","-2.8","11.5","0.9","1.7","5.7","-2.2","0.5","-1.5","6.0","-4.2","-1.1","6.7","8.4","20.3","11.0","-3.0","23.7","4.2","85.42 (Jan 15, 18)","70.73 (Jan 20, 17)","HDFC Bank","Infosys","Larsen","Reliance","NTPC","SBI","HUL","Kotak Mahindra","Schaeffler Ind","Bharat Fin","Banking/Finance","Technology","Engineering","Oil & Gas","Utilities","Banking/Finance","Cons NonDurable","Banking/Finance","Engineering","Banking/Finance","30.59","19.52","16.42","15.67","15.40","14.42","13.36","13.00","12.65","11.76","4.02","2.57","2.16","2.06","2.02","1.90","1.76","1.71","1.66","1.55",67.02,0,26.18,"N.A",5.56,1.23,"12.83","21.41","27.35","Banking/Finance","Engineering","Miscellaneous","Automotive","Technology","Oil & Gas","12.11","8.26","6.98","6.04","5.93","5.28","12.72","2.53","0.00","3.42","7.38","7.01","12.72","2.53","0.00","3.42","7.38","7.01","Dec-17","719.9","Sep-17","587.1","Jun-17","411.9","Mar-17","252.7","Dec-16","170.8","Sep-16","124.9","Jun-16","97.8","Mar-16","156.5","Dec-15","89.4","Sep-15","42.1","Jun-15","36.1","Mar-15","35.8","Dec-14","34.6","Sep-14","34.2","Jun-14","33.5","Mar-14","33.7","Dec-13","36.1","Sep-13","37.6","Jun-13","44.3","Mar-13","48.2","760.5","Nov-30-2017","MODERATELY HIGH"
"Sundaram Banking & PSU Debt Fund - Direct Plan (G) ","Sundaram Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth",100000,"N.A.","N.A.","N.A.","N.A.","","Mar 26, 2015","0.2","1.1","3.9","9.1","-","-","-","174","148","11","6","-","-","-","0.6","2.1","0.2","-","-","-","1.9","1.2","-","-","-","2.6","2.9","-","-","-","2.3","1.0","-","-","0.6","9.6","5.7","-","-","11.72 (Feb 07, 17)","10.73 (Mar 17, 16)","National Bank for Agricultural & Rural Development - 8.37 - 22/06/2020","Housing Development Finance Corporation Ltd - 8.75 - 04/03/2021","LIC Housing Finance Ltd - 9.3532 - 19/08/2019","Rural Electrification Corporation Ltd - 9.02 - 18/06/2019","Power Finance Corporation Ltd - 8.36 - 04/09/2020","LIC Housing Finance Ltd - 8.75 - 08/03/2021","Power Grid Corporation of India Ltd - 8.64 - 08/07/2018","-","-","-","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","-","-","2.07","2.06","1.87","1.46","1.24","1.03","1.02","-","-","-","10.75","10.72","9.69","7.56","6.43","5.35","5.30","-","-","-",0,0,55.8,"N.A",40.5,3.7,"45.15","55.80","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-17","19.7","Dec-16","25.7","Sep-16","28.1","Jun-16","23.0","Mar-16","136.9","Dec-15","65.7","Sep-15","75.1","Jun-15","71.2","Mar-15","2.0","19.3","Feb-28-2017","MODERATE"
"Sundaram Banking & PSU Debt Fund - Regular Plan (G) ","Sundaram Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth",100000,"N.A.","N.A.","N.A.","N.A.","","Mar 26, 2015","0.1","1.0","3.7","8.8","-","-","-","176","158","12","10","-","-","-","0.6","2.0","0.2","-","-","-","1.8","1.2","-","-","-","2.6","2.9","-","-","-","2.2","0.9","-","-","0.6","9.3","5.5","-","-","11.67 (Feb 07, 17)","10.71 (Mar 17, 16)","National Bank for Agricultural & Rural Development - 8.37 - 22/06/2020","Housing Development Finance Corporation Ltd - 8.75 - 04/03/2021","LIC Housing Finance Ltd - 9.3532 - 19/08/2019","Rural Electrification Corporation Ltd - 9.02 - 18/06/2019","Power Finance Corporation Ltd - 8.36 - 04/09/2020","LIC Housing Finance Ltd - 8.75 - 08/03/2021","Power Grid Corporation of India Ltd - 8.64 - 08/07/2018","-","-","-","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","-","-","2.07","2.06","1.87","1.46","1.24","1.03","1.02","-","-","-","10.75","10.72","9.69","7.56","6.43","5.35","5.30","-","-","-",0,0,55.8,"N.A",40.5,3.7,"45.15","55.80","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-17","0.3","Dec-16","0.3","Sep-16","0.7","Jun-16","1.5","Mar-16","10.1","Dec-15","1.4","Sep-15","7.6","Jun-15","12.5","Mar-15","0.5","19.3","Feb-28-2017","MODERATE"
"Sundaram Bond Saver - Direct Plan (G) ","Sundaram Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","0.1","0.4","2.1","5.7","9.4","7.4","8.2","31","23","25","18","33","64","58","0.5","2.4","2.8","2.2","1.1","2.8","1.6","-0.9","4.0","4.3","2.0","5.0","3.5","1.6","-3.3","0.3","1.4","-0.3","5.7","1.6","5.8","11.5","5.6","14.2","4.2","50.30 (Jan 17, 18)","46.95 (Feb 09, 17)","6.79% Central Government Securities 15/05/2027","Dewan Housing Finance Corporation Ltd - 9.25% - 09/09/2023","Camden Industries Ltd - 8.52% - 23/03/2020","State Bank of India - 8.15% - 02/08/2022","IIERT-August 2017 - 8.6395% - 16/02/2022","Hindalco Industries Ltd - 9.55% - 27/06/2022","Nuclear Power Corporation of India Ltd - 8.13% - 28/03/2027","Cholamandalam Investment and Finance Company Ltd - 9.08% - 23/11/2023","Oriental Nagpur Betul Highway ltd - 8.28% - 30/09/2020","Export Import Bank of India - 8.6% - 31/03/2022","Sovereign","BWR AAA","ICRA AAA (SO)","CRISIL AA+","CRISIL AAA (SO)","CRISIL AA","CRISIL AAA","ICRA AA","CRISIL AAA (SO)","CRISIL AA+","14.72","10.26","10.00","9.88","8.80","5.31","5.18","5.09","5.04","5.00","11.72","8.17","7.96","7.86","7.00","4.22","4.12","4.05","4.01","3.98",0,0,91.52,"N.A",10.24,-1.78,"42.71","63.09","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","3.8","Sep-17","3.8","Jun-17","5.7","Mar-17","15.3","Dec-16","14.5","Sep-16","13.6","Jun-16","12.9","Mar-16","39.3","Dec-15","14.0","Sep-15","13.7","Jun-15","13.6","Mar-15","12.6","Dec-14","11.3","Sep-14","10.8","Jun-14","12.0","Mar-14","12.8","Dec-13","13.7","Sep-13","7.3","Jun-13","5.1","Mar-13","1.4","125.7","Nov-30-2017","MODERATE"
"Sundaram Bond Saver - Institutional Plan (G) ","Sundaram Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Aug 18, 2003","-","0.1","1.6","4.8","8.6","6.8","7.4","41","33","32","34","63","85","90","0.3","2.3","2.6","2.1","2.1","2.6","1.5","-1.0","3.6","3.8","1.8","4.7","3.5","1.3","-3.7","-","1.2","-0.3","5.4","1.2","4.9","11.0","5.2","13.2","3.7","54.62 (Nov 21, 17)","51.34 (Feb 09, 17)","6.79% Central Government Securities 15/05/2027","Dewan Housing Finance Corporation Ltd - 9.25% - 09/09/2023","Camden Industries Ltd - 8.52% - 23/03/2020","State Bank of India - 8.15% - 02/08/2022","IIERT-August 2017 - 8.6395% - 16/02/2022","Hindalco Industries Ltd - 9.55% - 27/06/2022","Nuclear Power Corporation of India Ltd - 8.13% - 28/03/2027","Cholamandalam Investment and Finance Company Ltd - 9.08% - 23/11/2023","Oriental Nagpur Betul Highway ltd - 8.28% - 30/09/2020","Export Import Bank of India - 8.6% - 31/03/2022","Sovereign","BWR AAA","ICRA AAA (SO)","CRISIL AA+","CRISIL AAA (SO)","CRISIL AA","CRISIL AAA","ICRA AA","CRISIL AAA (SO)","CRISIL AA+","14.72","10.26","10.00","9.88","8.80","5.31","5.18","5.09","5.04","5.00","11.72","8.17","7.96","7.86","7.00","4.22","4.12","4.05","4.01","3.98",0,0,91.52,"N.A",10.24,-1.78,"42.71","63.09","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","0.0","Sep-17","0.0","Jun-17","0.0","Mar-17","0.0","Dec-16","0.0","Sep-16","0.0","Jun-16","0.0","Mar-16","0.0","Dec-15","0.3","Sep-15","0.4","Jun-15","0.4","Mar-15","0.4","Dec-14","0.3","Sep-14","0.3","Jun-14","0.5","Mar-14","1.1","Dec-13","1.1","Sep-13","9.9","Jun-13","13.3","Mar-13","22.2","125.7","Nov-30-2017","MODERATE"
"Sundaram Bond Saver (G) ","Sundaram Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Dec 18, 1997","-","0.1","1.6","4.8","8.6","6.8","7.4","41","33","32","34","63","85","90","0.3","2.3","2.6","2.1","1.9","2.6","1.5","-1.0","3.6","3.8","1.8","4.7","3.5","1.3","-3.7","-","1.2","-0.3","5.4","1.2","4.9","11.0","5.2","13.2","3.5","48.33 (Nov 21, 17)","45.42 (Feb 09, 17)","6.79% Central Government Securities 15/05/2027","Dewan Housing Finance Corporation Ltd - 9.25% - 09/09/2023","Camden Industries Ltd - 8.52% - 23/03/2020","State Bank of India - 8.15% - 02/08/2022","IIERT-August 2017 - 8.6395% - 16/02/2022","Hindalco Industries Ltd - 9.55% - 27/06/2022","Nuclear Power Corporation of India Ltd - 8.13% - 28/03/2027","Cholamandalam Investment and Finance Company Ltd - 9.08% - 23/11/2023","Oriental Nagpur Betul Highway ltd - 8.28% - 30/09/2020","Export Import Bank of India - 8.6% - 31/03/2022","Sovereign","BWR AAA","ICRA AAA (SO)","CRISIL AA+","CRISIL AAA (SO)","CRISIL AA","CRISIL AAA","ICRA AA","CRISIL AAA (SO)","CRISIL AA+","14.72","10.26","10.00","9.88","8.80","5.31","5.18","5.09","5.04","5.00","11.72","8.17","7.96","7.86","7.00","4.22","4.12","4.05","4.01","3.98",0,0,91.52,"N.A",10.24,-1.78,"42.71","63.09","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","121.5","Sep-17","119.1","Jun-17","120.7","Mar-17","142.2","Dec-16","146.4","Sep-16","171.6","Jun-16","195.4","Mar-16","997.5","Dec-15","214.3","Sep-15","209.6","Jun-15","192.3","Mar-15","186.6","Dec-14","179.3","Sep-14","203.5","Jun-14","314.3","Mar-14","394.9","Dec-13","437.5","Sep-13","447.6","Jun-13","293.9","Mar-13","132.0","125.7","Nov-30-2017","MODERATE"
"Sundaram Capex Opportunities Fund - Institutional Plan (G) ","Sundaram Mutual Fund","","Open-Ended","Growth",50000000,"N.A.","N.A.","N.A.","1.00%","BSE Capital Goods Sector","May 20, 2009","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00 ()","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","474.3","May-31-2010",NA
"Sundaram Diversified Equity - Direct Plan (G) ","Sundaram Mutual Fund","ELSS","Open-Ended","Growth",500,"N.A.","N.A.","N.A.","N.A.","BSE 200","Jan 01, 2013","2.9","6.9","10.7","32.9","28.8","14.6","17.5","30","63","72","45","39","26","46","14.7","-5.1","3.9","5.6","-8.8","6.3","11.4","-0.9","18.9","-0.1","1.4","7.1","-4.5","6.9","-4.8","9.4","-8.5","2.5","8.9","12.2","38.4","6.6","3.5","46.2","-0.7","111.77 (Jan 09, 18)","82.54 (Jan 20, 17)","HDFC Bank","Reliance","Bajaj Finance","Ramco Cements","Larsen","M&M","Siemens","ICICI Bank","Cholamandalam","Infosys","Banking/Finance","Oil & Gas","Banking/Finance","Cement","Engineering","Automotive","Engineering","Banking/Finance","Banking/Finance","Technology","100.28","79.71","71.52","67.83","56.17","55.52","54.24","51.50","47.69","46.40","4.19","3.33","2.99","2.84","2.35","2.32","2.27","2.15","1.99","1.94",96.74,0,0,"N.A",3.41,-0.18,"15.70","26.37","39.08","Banking/Finance","Engineering","Automotive","Manufacturing","Miscellaneous","Oil & Gas","22.24","8.92","7.92","6.89","6.02","5.79","28.44","5.70","8.67","6.71","2.67","8.05","28.44","5.70","8.67","6.71","2.67","8.05","Dec-17","45.5","Sep-17","40.7","Jun-17","36.3","Mar-17","28.6","Dec-16","24.0","Sep-16","23.0","Jun-16","19.7","Mar-16","25.7","Dec-15","15.8","Sep-15","15.1","Jun-15","13.9","Mar-15","11.8","Dec-14","9.6","Sep-14","8.3","Jun-14","6.8","Mar-14","4.9","Dec-13","3.9","Sep-13","3.2","Jun-13","2.6","Mar-13","0.9","2,391.4","Nov-30-2017","MODERATELY HIGH"
"Sundaram Diversified Equity (G) ","Sundaram Mutual Fund","ELSS","Open-Ended","Growth",500,"Rs.5.00 (Jan-28-2005)","N.A.","N.A.","N.A.","BSE 200","Nov 22, 1999","2.9","6.7","10.3","32.0","28.2","14.1","17.1","31","66","82","53","46","33","52","14.5","-5.1","3.7","5.5","-7.4","6.1","11.3","-1.0","18.8","-0.1","1.2","7.0","-4.6","6.8","-4.8","9.2","-8.6","2.4","8.8","12.1","37.5","6.3","3.1","45.7","0.6","109.67 (Jan 09, 18)","81.49 (Jan 20, 17)","HDFC Bank","Reliance","Bajaj Finance","Ramco Cements","Larsen","M&M","Siemens","ICICI Bank","Cholamandalam","Infosys","Banking/Finance","Oil & Gas","Banking/Finance","Cement","Engineering","Automotive","Engineering","Banking/Finance","Banking/Finance","Technology","100.28","79.71","71.52","67.83","56.17","55.52","54.24","51.50","47.69","46.40","4.19","3.33","2.99","2.84","2.35","2.32","2.27","2.15","1.99","1.94",96.74,0,0,"N.A",3.41,-0.18,"15.70","26.37","39.08","Banking/Finance","Engineering","Automotive","Manufacturing","Miscellaneous","Oil & Gas","22.24","8.92","7.92","6.89","6.02","5.79","28.44","5.70","8.67","6.71","2.67","8.05","28.44","5.70","8.67","6.71","2.67","8.05","Dec-17","2,285.6","Sep-17","1,934.5","Jun-17","1,621.4","Mar-17","1,386.9","Dec-16","1,307.6","Sep-16","1,309.1","Jun-16","1,164.5","Mar-16","1,681.6","Dec-15","1,163.6","Sep-15","1,177.6","Jun-15","1,155.8","Mar-15","1,227.9","Dec-14","1,205.6","Sep-14","1,190.8","Jun-14","1,139.8","Mar-14","1,107.5","Dec-13","1,162.8","Sep-13","1,143.7","Jun-13","1,261.1","Mar-13","1,381.0","2,391.4","Nov-30-2017","MODERATELY HIGH"
