"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x"
"UTI - Capital Protection Oriented Scheme - Series IV - I (1103 Days) - Direct (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","297.9 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Jul 21, 2014","0.6","1.9","4.3","7.8","8.0","8.7","-","46","43","31","41","54","32","-","2.8","0.8","2.2","-","-","1.8","3.4","1.1","-","-","0.5","2.6","1.7","2.0","-","-","0.5","1.6","2.9","-","5.4","8.0","7.2","5.0","-","12.88 (Jul 31, 17)","11.94 (Aug 03, 16)","DDB KOTAK MAHINDRA PRIME LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD HDB FINANCIAL SERVICES LTD.","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD LIC HOUSING FINANCE LTD.","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD HDFC LTD.","NCD HDFC LTD.","ICICI BANK LTD","ICRA-AAA","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","","45.49","39.53","38.62","37.60","14.15","12.65","12.16","10.12","5.06","3.17","15.27","13.27","12.96","12.62","4.75","4.24","4.08","3.40","1.70","1.06",13.82,0,74.77,"N.A",6.45,4.95,"58.87","73.35","6.57","Banking/Finance","Technology","Conglomerates","Pharmaceuticals","Oil & Gas","Engineering","3.84","1.52","1.21","0.99","0.98","0.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","4.5","Jun-17","13.1","Mar-17","12.8","Dec-16","12.6","Sep-16","12.4","Jun-16","12.0","Mar-16","17.4","Dec-15","11.6","Sep-15","11.4","Jun-15","11.2","Mar-15","11.0","Dec-14","10.7","Sep-14","7.3","LOW"
"UTI - Capital Protection Oriented Scheme - Series IV - I (1103 Days) - Regular (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","297.9 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Jul 21, 2014","0.5","1.6","3.7","6.5","6.6","7.2","-","53","53","47","59","69","59","-","2.5","0.5","1.8","-","-","1.5","3.1","0.7","-","-","0.4","2.3","1.4","1.7","-","-","0.2","1.2","2.6","-","4.6","6.6","5.6","4.3","-","12.36 (Jul 31, 17)","11.59 (Aug 03, 16)","DDB KOTAK MAHINDRA PRIME LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD HDB FINANCIAL SERVICES LTD.","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD LIC HOUSING FINANCE LTD.","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD HDFC LTD.","NCD HDFC LTD.","ICICI BANK LTD","ICRA-AAA","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","","45.49","39.53","38.62","37.60","14.15","12.65","12.16","10.12","5.06","3.17","15.27","13.27","12.96","12.62","4.75","4.24","4.08","3.40","1.70","1.06",13.82,0,74.77,"N.A",6.45,4.95,"58.87","73.35","6.57","Banking/Finance","Technology","Conglomerates","Pharmaceuticals","Oil & Gas","Engineering","3.84","1.52","1.21","0.99","0.98","0.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","195.0","Jun-17","572.9","Mar-17","562.7","Dec-16","553.2","Sep-16","546.6","Jun-16","530.2","Mar-16","772.7","Dec-15","516.4","Sep-15","509.7","Jun-15","502.8","Mar-15","497.5","Dec-14","486.8","Sep-14","330.4","LOW"
"UTI - Capital Protection Oriented Scheme - Series IV - II (1104 Days) - Direct (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","152.8 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Sep 22, 2014","-","1.2","3.2","6.9","7.8","8.3","-","43","63","55","55","57","45","-","2.6","0.8","2.4","-","-","1.8","3.2","1.2","-","-","1.2","2.5","1.9","-","-","-","0.8","1.5","2.9","-","6.0","7.9","7.5","2.9","-","12.75 (Sep 21, 17)","11.84 (Sep 29, 16)","DDB KOTAK MAHINDRA INVESTMENT LTD.","NCD HDFC LTD.","NCD EXIM BANK","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD LIC HOUSING FINANCE LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","ADITYA BIRLA NUVO LTD.","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","","23.36","19.27","18.13","15.29","15.24","15.06","4.10","4.07","1.53","1.29","15.29","12.61","11.86","10.00","9.97","9.86","2.69","2.66","1.00","0.84",12.72,0,76.45,"N.A",2.99,7.83,"59.73","76.78","6.14","Banking/Finance","Technology","Pharmaceuticals","Conglomerates","Oil & Gas","Automotive","2.26","2.00","1.88","1.41","0.72","0.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","0.1","Sep-17","4.5","Jun-17","4.4","Mar-17","4.3","Dec-16","4.2","Sep-16","4.1","Jun-16","4.0","Mar-16","7.8","Dec-15","3.9","Sep-15","3.8","Jun-15","3.8","Mar-15","3.7","Dec-14","3.6","Sep-14","0.0","LOW"
"UTI - Capital Protection Oriented Scheme - Series IV - II (1104 Days) - Regular (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","152.8 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Sep 22, 2014","-","0.9","2.7","5.7","6.5","6.8","-","59","81","71","72","71","65","-","2.3","0.4","2.0","-","-","1.5","2.8","0.8","-","-","0.9","2.2","1.5","-","-","-","0.5","1.1","2.5","-","5.1","6.5","5.9","2.6","-","12.24 (Sep 21, 17)","11.50 (Sep 29, 16)","DDB KOTAK MAHINDRA INVESTMENT LTD.","NCD HDFC LTD.","NCD EXIM BANK","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD LIC HOUSING FINANCE LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","ADITYA BIRLA NUVO LTD.","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","","23.36","19.27","18.13","15.29","15.24","15.06","4.10","4.07","1.53","1.29","15.29","12.61","11.86","10.00","9.97","9.86","2.69","2.66","1.00","0.84",12.72,0,76.45,"N.A",2.99,7.83,"59.73","76.78","6.14","Banking/Finance","Technology","Pharmaceuticals","Conglomerates","Oil & Gas","Automotive","2.26","2.00","1.88","1.41","0.72","0.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","5.1","Sep-17","155.8","Jun-17","153.4","Mar-17","150.7","Dec-16","148.2","Sep-16","146.3","Jun-16","142.1","Mar-16","270.4","Dec-15","138.7","Sep-15","136.8","Jun-15","134.9","Mar-15","133.3","Dec-14","130.4","Sep-14","1.4","LOW"
"UTI - Capital Protection Oriented Scheme - Series IV - III (1105 Days) - Direct (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","104.0 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Nov 21, 2014","0.5","2.2","4.5","9.7","9.1","8.6","-","53","32","28","27","44","35","-","2.8","0.6","2.4","-","-","2.2","3.5","1.1","-","-","1.6","2.8","2.0","-","-","1.9","0.6","1.4","0.5","-","9.3","8.0","7.5","0.5","-","12.85 (Dec 04, 17)","11.67 (Dec 26, 16)","DDB HDFC LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD POWER GRID CORPORATION OF INDIA LTD","NCD LIC HOUSING FINANCE LTD.","NCD ICICI BANK LTD","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","HDFC BANK LTD.","ADITYA BIRLA NUVO LTD.","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","","","14.59","13.22","10.19","10.16","8.21","6.52","6.51","1.12","1.05","0.87","14.03","12.72","9.80","9.77","7.90","6.27","6.26","1.08","1.01","0.84",13.12,0,68.8,"N.A",10.25,7.84,"54.22","69.68","7.36","Banking/Finance","Technology","Pharmaceuticals","Conglomerates","Manufacturing","Automotive","3.61","2.19","1.56","1.35","1.04","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","4.8","Sep-17","6.6","Jun-17","6.5","Mar-17","6.3","Dec-16","6.2","Sep-16","6.1","Jun-16","5.9","Mar-16","11.4","Dec-15","5.7","Sep-15","5.6","Jun-15","5.5","Mar-15","5.4","Dec-14","1.7","LOW"
"UTI - Capital Protection Oriented Scheme - Series IV - III (1105 Days) - Regular (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","104.0 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Nov 21, 2014","0.4","2.0","3.9","8.3","7.7","7.0","-","69","39","41","36","58","62","-","2.5","0.2","2.0","-","-","1.9","3.1","0.7","-","-","1.4","2.4","1.6","-","-","1.7","0.3","1.0","0.4","-","8.1","6.5","5.9","0.4","-","12.31 (Dec 04, 17)","11.31 (Dec 26, 16)","DDB HDFC LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD POWER GRID CORPORATION OF INDIA LTD","NCD LIC HOUSING FINANCE LTD.","NCD ICICI BANK LTD","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","HDFC BANK LTD.","ADITYA BIRLA NUVO LTD.","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","","","14.59","13.22","10.19","10.16","8.21","6.52","6.51","1.12","1.05","0.87","14.03","12.72","9.80","9.77","7.90","6.27","6.26","1.08","1.01","0.84",13.12,0,68.8,"N.A",10.25,7.84,"54.22","69.68","7.36","Banking/Finance","Technology","Pharmaceuticals","Conglomerates","Manufacturing","Automotive","3.61","2.19","1.56","1.35","1.04","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","75.4","Sep-17","103.4","Jun-17","101.3","Mar-17","99.2","Dec-16","97.6","Sep-16","96.3","Jun-16","93.4","Mar-16","177.9","Dec-15","91.2","Sep-15","90.0","Jun-15","88.8","Mar-15","87.8","Dec-14","26.9","LOW"
"UTI - Capital Protection Oriented Scheme - Series V - I (1163 Days) - Direct (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","86.7 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 23, 2015","1.3","3.0","4.5","10.1","10.1","-","-","5","12","29","24","36","-","-","3.0","0.9","0.8","-","-","1.9","3.4","0.9","-","-","1.4","2.8","2.3","-","-","2.9","0.5","1.5","-","-","10.2","8.3","6.0","-","-","12.78 (Jan 17, 18)","11.59 (Jan 20, 17)","NCD POWER FINANCE CORPORATION LTD.","NCD HINDUSTAN PETROLEUM CORPORATION LTD.","NCD HDB FINANCIAL SERVICES LTD.","NCD CANFIN HOMES LTD.","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD POWER GRID CORPORATION OF INDIA LTD","NCD NHPC LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","DDB NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","ICICI BANK LTD","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","CRISIL-AAA","FITCH-AAA","CRISIL-AAA","CRISIL-AAA","","10.26","10.25","10.17","10.14","7.79","7.44","5.12","3.19","1.87","0.97","11.84","11.83","11.73","11.70","8.98","8.58","5.91","3.68","2.15","1.12",14.42,0,76.74,"N.A",0,8.81,"56.08","77.52","6.92","Banking/Finance","Automotive","Pharmaceuticals","Conglomerates","Technology","Tobacco","3.82","1.56","1.54","1.49","1.48","1.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1.4","Sep-17","1.4","Jun-17","1.4","Mar-17","1.3","Dec-16","1.3","Sep-16","1.3","Jun-16","1.2","Mar-16","1.3","Dec-15","1.2","Sep-15","1.2","Jun-15","1.2","Mar-15","0.7","N.A"
"UTI - Capital Protection Oriented Scheme - Series V - I (1163 Days) - Regular (G) ","UTI Mutual Fund","Capital Protection Funds","Close-Ended","Growth","86.7 Nov-30-2016",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 23, 2015","1.2","2.6","3.8","8.6","8.6","-","-","8","21","47","34","49","-","-","2.7","0.5","0.5","-","-","1.6","3.0","0.5","-","-","1.1","2.4","1.9","-","-","2.6","0.2","1.1","-","-","8.7","6.7","4.4","-","-","12.23 (Jan 17, 18)","11.24 (Jan 20, 17)","NCD POWER FINANCE CORPORATION LTD.","NCD HINDUSTAN PETROLEUM CORPORATION LTD.","NCD HDB FINANCIAL SERVICES LTD.","NCD CANFIN HOMES LTD.","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD POWER GRID CORPORATION OF INDIA LTD","NCD NHPC LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","DDB NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","ICICI BANK LTD","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","ICRA-AAA","CRISIL-AAA","CRISIL-AAA","FITCH-AAA","CRISIL-AAA","CRISIL-AAA","","10.26","10.25","10.17","10.14","7.79","7.44","5.12","3.19","1.87","0.97","11.84","11.83","11.73","11.70","8.98","8.58","5.91","3.68","2.15","1.12",14.42,0,76.74,"N.A",0,8.81,"56.08","77.52","6.92","Banking/Finance","Automotive","Pharmaceuticals","Conglomerates","Technology","Tobacco","3.82","1.56","1.54","1.49","1.48","1.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","91.7","Sep-17","90.3","Jun-17","88.5","Mar-17","86.8","Dec-16","85.2","Sep-16","84.2","Jun-16","81.7","Mar-16","154.2","Dec-15","79.5","Sep-15","78.3","Jun-15","77.4","Mar-15","48.9","N.A"
"UTI - Focussed Equity Fund - Series I (1100 days) - Direct Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","101.0 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Aug 27, 2014","2.0","10.1","13.0","32.4","29.4","11.8","-","108","55","56","86","56","126","-","14.8","-5.1","3.2","-","-","4.4","10.3","-6.8","-","-","1.5","6.7","-2.8","0.5","-","11.8","-6.8","-2.5","10.2","-","38.6","7.5","-6.2","10.5","-","16.07 (Jan 15, 18)","11.79 (Jan 20, 17)","Titan Company","Maruti Suzuki","HDFC Bank","MRF","SBI","Bharat Forge","Federal Bank","Infosys","Sun Pharma","Container Corp","Miscellaneous","Automotive","Banking/Finance","Automotive","Banking/Finance","Manufacturing","Banking/Finance","Technology","Pharmaceuticals","Services","6.66","6.36","6.12","5.21","5.16","4.54","4.54","4.50","4.30","3.88","6.59","6.30","6.06","5.15","5.11","4.49","4.49","4.45","4.25","3.85",90.44,0,0.61,"N.A",0,8.94,"29.21","50.74","48.50","Banking/Finance","Automotive","Oil & Gas","Manufacturing","Pharmaceuticals","Miscellaneous","22.33","16.36","9.81","7.50","6.66","6.59","23.40","17.43","7.32","3.04","3.38","7.15","23.40","17.43","7.32","3.04","3.38","7.15","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","4.5","Sep-17","33.2","Jun-17","41.3","Mar-17","37.4","Dec-16","35.3","Sep-16","35.8","Jun-16","32.0","Mar-16","54.2","Dec-15","32.5","Sep-15","33.3","Jun-15","34.0","Mar-15","35.0","Dec-14","32.8","Sep-14","7.8","HIGH"
"UTI - Focussed Equity Fund - Series I (1100 days) - Regular Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","101.0 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Aug 27, 2014","1.9","9.7","12.3","30.6","27.6","10.1","-","111","63","72","111","78","146","-","14.4","-5.4","2.8","-","-","4.0","9.9","-7.2","-","-","1.2","6.3","-3.3","0.4","-","11.5","-7.1","-2.9","9.7","-","36.8","5.9","-7.8","9.9","-","15.26 (Jan 15, 18)","11.34 (Jan 20, 17)","Titan Company","Maruti Suzuki","HDFC Bank","MRF","SBI","Bharat Forge","Federal Bank","Infosys","Sun Pharma","Container Corp","Miscellaneous","Automotive","Banking/Finance","Automotive","Banking/Finance","Manufacturing","Banking/Finance","Technology","Pharmaceuticals","Services","6.66","6.36","6.12","5.21","5.16","4.54","4.54","4.50","4.30","3.88","6.59","6.30","6.06","5.15","5.11","4.49","4.49","4.45","4.25","3.85",90.44,0,0.61,"N.A",0,8.94,"29.21","50.74","48.50","Banking/Finance","Automotive","Oil & Gas","Manufacturing","Pharmaceuticals","Miscellaneous","22.33","16.36","9.81","7.50","6.66","6.59","23.40","17.43","7.32","3.04","3.38","7.15","23.40","17.43","7.32","3.04","3.38","7.15","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","95.3","Sep-17","748.4","Jun-17","932.1","Mar-17","848.5","Dec-16","806.9","Sep-16","827.7","Jun-16","742.4","Mar-16","1,162.5","Dec-15","761.1","Sep-15","782.8","Jun-15","803.1","Mar-15","829.1","Dec-14","781.2","Sep-14","184.4","HIGH"
