,Plan_name,riskometer
0,Aditya Birla Sun Life India Opportunities Fund - Plan B (G),HIGH
1,Aditya Birla Sun Life 5 STAR Multi Manager FoF Scheme (G),HIGH
2,Aditya Birla Sun Life 5 STAR Multi Manager FoF Scheme - Direct Plan (G),HIGH
3,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme (G),HIGH
4,Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan (G),HIGH
5,Aditya Birla Sun Life Asset Allocation Fund- Conservative Plan (G),MODERATE
6,Aditya Birla Sun Life Asset Allocation Fund - Aggressive Plan (G),MODERATELY HIGH
7,Aditya Birla Sun Life Asset Allocation Fund - Direct Plan - Aggressive Plan (G),MODERATELY HIGH
8,Aditya Birla Sun Life Asset Allocation Fund - Direct Plan- Conservative Plan (G),MODERATE
9,Aditya Birla Sun Life Asset Allocation Fund - Direct Plan - Moderate Plan (G),MODERATELY HIGH
10,Aditya Birla Sun Life Asset Allocation Fund - Moderate Plan (G),MODERATELY HIGH
11,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme (G),MODERATE
12,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan (G),MODERATE
13,Aditya Birla Sun Life Advantage Fund (G),MODERATELY HIGH
14,Aditya Birla Sun Life Advantage Fund - Direct Plan (G),MODERATELY HIGH
15,Aditya Birla Sun Life Banking and PSU Debt Fund - Direct Plan (G),MODERATE
16,Aditya Birla Sun Life Banking and PSU Debt Fund - Regular Plan (G),MODERATE
17,Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,MODERATELY HIGH
18,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,MODERATELY HIGH
19,Aditya Birla Sun Life Bal. 95 Fund (G),MODERATELY HIGH
20,Aditya Birla Sun Life Bal. 95 Fund - Direct Plan (G),MODERATELY HIGH
21,Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (G),HIGH
22,Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (G),HIGH
23,Aditya Birla Sun Life Cash Manager (G),MODERATELY LOW
24,Aditya Birla Sun Life Cash Manager - Direct Plan (G),MODERATELY LOW
25,Aditya Birla Sun Life Cash Manager - Inst. Plan (G),MODERATELY LOW
26,Aditya Birla Sun Life Cash Plus (Discipline Advantage Plan),LOW
27,Aditya Birla Sun Life Cash Plus - Direct Plan (G),LOW
28,Aditya Birla Sun Life Cash Plus - Institutional Plan (G) (Plan C),LOW
29,Aditya Birla Sun Life Cash Plus - Institutional Premium Plan (G),LOW
30,Aditya Birla Sun Life Cash Plus - Retail (G) (Plan B),LOW
31,Aditya Birla Sun Life Commodity Equities - Global Agri Plan - Direct Plan (G),HIGH
32,Aditya Birla Sun Life Commodity Equities - Global Agri Plan - Retail Plan (G),HIGH
33,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan (G),MODERATE
34,Aditya Birla Sun Life Corporate Bond Fund - Regular Plan (G),MODERATE
35,Aditya Birla Sun Life Capital Protection Oriented Fund - 5 Years Plan (G),LOW
36,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 10 (36 months),LOW
37,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 2 (36 Months),LOW
38,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 1 (27 Months),LOW
39,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 3 (36 Months),LOW
40,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 4 (36 Months),LOW
41,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 5 (832 Days),LOW
42,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 6 (761 Days),LOW
43,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 7 (36 months),LOW
44,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 8 (25 months),LOW
45,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 9 (36 months),LOW
46,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 11 (36 Months) (G),LOW
47,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 12 (1094 Days) (G),LOW
48,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 13 (1093 Days) (G),LOW
49,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 14 (1093 Days) (G),LOW
50,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 16 - Direct (G),LOW
51,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 16 - Regular (G),LOW
52,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 17 - Direct (G),LOW
53,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 17 - Regular (G),LOW
54,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 18 - Direct (G),LOW
55,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 18 - Regular (G),LOW
56,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 19 - Direct (G),LOW
57,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 19 - Regular (G),LOW
58,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 20 - Direct (G),LOW
59,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 20 - Regular (G),LOW
60,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 21 - Direct (G),LOW
61,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 21 - Regular (G),LOW
62,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Direct (G),LOW
63,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Regular (G),LOW
64,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 23 - Direct (G),LOW
65,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 23 - Regular (G),LOW
66,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Direct (G),LOW
67,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Regular (G),LOW
68,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Direct (G),LOW
69,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Regular (G),LOW
70,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Direct (G),MODERATELY LOW
71,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Regular (G),MODERATELY LOW
72,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Direct (G),MODERATELY LOW
73,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Regular (G),MODERATELY LOW
74,Aditya Birla Sun Life Dividend Yield Plus (G),MODERATELY HIGH
75,Aditya Birla Sun Life Dividend Yield Plus - Direct Plan (G),MODERATELY HIGH
76,Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan (G),MODERATELY HIGH
77,Aditya Birla Sun Life Dynamic Bond Fund - Retail Plan (G),MODERATELY HIGH
78,Aditya Birla Sun Life Emerging Leaders Fund - Series 1-Direct Plan (G),HIGH
79,Aditya Birla Sun Life Emerging Leaders Fund - Series 1-Regular Plan (G),HIGH
80,Aditya Birla Sun Life Emerging Leaders Fund - Series 2-Direct Plan (G),HIGH
81,Aditya Birla Sun Life Emerging Leaders Fund - Series 2-Regular Plan (G),HIGH
82,Aditya Birla Sun Life Emerging Leaders Fund - Series 3-Direct Plan (G),HIGH
83,Aditya Birla Sun Life Emerging Leaders Fund - Series 3-Regular Plan (G),HIGH
84,Aditya Birla Sun Life Emerging Leaders Fund - Series 4-Direct Plan (G),HIGH
85,Aditya Birla Sun Life Emerging Leaders Fund - Series 4-Regular Plan (G),HIGH
86,Aditya Birla Sun Life Emerging Leaders Fund - Series 5-Direct Plan (G),HIGH
87,Aditya Birla Sun Life Emerging Leaders Fund - Series 5-Regular Plan (G),HIGH
88,Aditya Birla Sun Life Emerging Leaders Fund - Series 6-Direct Plan (G),HIGH
89,Aditya Birla Sun Life Emerging Leaders Fund - Series 6-Regular Plan (G),HIGH
90,Aditya Birla Sun Life Enhanced Arbitrage Fund - Direct Plan (G),MODERATE
91,Aditya Birla Sun Life Enhanced Arbitrage Fund - Retail Plan (G),MODERATE
92,Aditya Birla Sun Life Equity Fund (G),MODERATELY HIGH
93,Aditya Birla Sun Life Equity Fund - Direct Plan (G),MODERATELY HIGH
94,Aditya Birla Sun Life Equity Savings Fund - Direct Plan (G),MODERATELY HIGH
95,Aditya Birla Sun Life Equity Savings Fund - Regular Plan (G),MODERATELY HIGH
96,Aditya Birla Sun Life Focused Equity Fund - Series 1-Direct Plan (G),MODERATELY HIGH
97,Aditya Birla Sun Life Focused Equity Fund - Series 1-Regular Plan (G),MODERATELY HIGH
98,Aditya Birla Sun Life Focused Equity Fund - Series 2-Direct Plan (G),MODERATELY HIGH
99,Aditya Birla Sun Life Focused Equity Fund - Series 2-Regular Plan (G),MODERATELY HIGH
100,Aditya Birla Sun Life Focused Equity Fund - Series 3-Direct Plan (G),MODERATELY HIGH
101,Aditya Birla Sun Life Focused Equity Fund - Series 3-Regular Plan (G),MODERATELY HIGH
102,Aditya Birla Sun Life Focused Equity Fund - Series 4-Direct Plan (G),HIGH
103,Aditya Birla Sun Life Focused Equity Fund - Series 4-Regular Plan (G),HIGH
104,Aditya Birla Sun Life Focused Equity Fund - Series 5-Direct Plan (G),HIGH
