,Plan_name,riskometer
0,HDFC Arbitrage Fund - Direct Plan (G),MODERATELY LOW
1,HDFC Arbitrage Fund - Retail Plan (G),MODERATELY LOW
2,HDFC Arbitrage Fund - Wholesale Plan (G),MODERATELY LOW
3,HDFC Arbitrage Fund - Wholesale Plan - Direct Plan (G),MODERATELY LOW
4,HDFC Balanced Fund (G) ,MODERATELY HIGH
5,HDFC Balanced Fund - Direct Plan (G) ,MODERATELY HIGH
6,HDFC Banking and PSU Debt Fund - Regular Plan (G),MODERATELY LOW
7,HDFC Banking and PSU Debt Fund - Direct Plan (G),MODERATELY LOW
8,HDFC Capital Builder Fund - Direct Plan (G),MODERATELY HIGH
9,HDFC Capital Builder Fund (G),MODERATELY HIGH
10,HDFC Childrens Gift Fund - Investment Plan,MODERATELY HIGH
11,HDFC Childrens Gift Fund - Savings Plan,MODERATE
12,HDFC Childrens Gift Fund - Investment Plan - Direct Plan,MODERATELY HIGH
13,HDFC Childrens Gift Fund - Savings Plan - Direct Plan,MODERATE
14,HDFC Cash Management Fund - Call Plan (G),LOW
15,HDFC Cash Management Fund - Call Plan - Direct Plan (G),LOW
16,HDFC Cash Management Fund - Saving Plan (G),LOW
17,HDFC Cash Management Fund - Saving Plan - Direct Plan (G),LOW
18,HDFC Cash Management Fund -Treasury Advantage Plan - Direct Plan (G),LOW
19,HDFC Cash Management Fund- Treasury Advantage Plan - Retail Plan (G),LOW
20,HDFC Cash Management Fund- Treasury Advantage Plan - Wholesale Plan (G),LOW
21,HDFC Core & Satellite Fund - Direct Plan (G),MODERATELY HIGH
22,HDFC Core & Satellite Fund (G),MODERATELY HIGH
23,HDFC Corporate Debt Opportunities Fund - Direct Plan (G),MODERATE
24,HDFC Corporate Debt Opportunities Fund - Regular Plan (G),MODERATE
25,HDFC Debt Fund for Cancer Cure,LOW
26,HDFC Debt Fund for Cancer Cure 2014 -100 Percent Donation - Direct Plan,N.A
27,HDFC Debt Fund for Cancer Cure 2014 -100 Percent Donation - Regular Plan,N.A
28,HDFC Debt Fund for Cancer Cure 2014 - 50 Percent Donation - Direct Plan,LOW
29,HDFC Debt Fund for Cancer Cure 2014 - 50 Percent Donation - Regular Plan,LOW
30,HDFC Dynamic PE Ratio Fund of Funds (G),MODERATE
31,HDFC Dynamic PE Ratio Fund of Funds - Direct Plan (G),MODERATE
32,HDFC Equity Fund (G),MODERATELY HIGH
33,HDFC Equity Fund - Direct Plan (G),MODERATELY HIGH
34,HDFC Equity saving Fund (G),MODERATE
35,HDFC Equity saving Fund - Direct Plan (G),MODERATE
36,HDFC Floating Rate Income Fund - Long Term Plan (G) ,MODERATE
37,HDFC Floating Rate Income Fund - Long Term Plan - Direct Plan (G) ,MODERATE
38,HDFC Floating Rate Income Fund - Short Term Plan - Direct Plan (G),MODERATELY LOW
39,HDFC Floating Rate Income Fund - STP - Retail Plan (G) ,MODERATELY LOW
40,HDFC Floating Rate Income Fund - STP - Wholesale Plan (G) ,MODERATELY LOW
41,HDFC Fixed Maturity Plan - 1122D - March 2017 Series 37 (1) Direct Plan (G),MODERATE
42,HDFC Fixed Maturity Plan - 1122D - March 2017 Series 37 (1) Regular Plan (G),MODERATE
43,HDFC Fixed Maturity Plan - 1136D - June 2017 Series 38 (1) Direct Plan (G),N.A
44,HDFC Fixed Maturity Plan - 1136D - June 2017 Series 38 (1) Regular Plan (G),N.A
45,HDFC Fixed Maturity Plan - 1143D - Feb 2017 Series 37 (1) Direct Plan (G),MODERATE
46,HDFC Fixed Maturity Plan - 1143D - Feb 2017 Series 37 (1) Regular Plan (G),MODERATE
47,HDFC Fixed Maturity Plan - 1150D - Feb 2017 Series 37 (1) Direct Plan (G),MODERATE
48,HDFC Fixed Maturity Plan - 1150D - Feb 2017 Series 37 (1) Regular Plan (G),MODERATE
49,HDFC Fixed Maturity Plan - 1155D - Feb 2017 Series 37 (1) Direct Plan (G),MODERATE
