,Plan_name,riskometer
0,ICICI Prudential Advisor Series - Aggressive Plan (G),HIGH
1,ICICI Prudential Advisor Series - Aggressive Plan - Direct Plan (G),HIGH
2,ICICI Prudential Balanced Advantage Fund (G),MODERATELY HIGH
3,ICICI Prudential Balanced Advantage Fund - Direct Plan (G),MODERATELY HIGH
4,ICICI Prudential Balanced Fund (G),MODERATELY HIGH
5,ICICI Prudential Balanced Fund - Direct Plan (G),MODERATELY HIGH
6,ICICI Prudential Banking & PSU Debt Fund (G),MODERATE
7,ICICI Prudential Banking & PSU Debt Fund - Premium Plan (G),MODERATE
8,ICICI Prudential Banking & PSU Debt Fund - Retail Plan (G),MODERATE
9,ICICI Prudential Banking & PSU Debt Fund - Direct Plan (G),MODERATE
10,ICICI Prudential Banking & Financial Services Fund - Retail Plan (G),HIGH
11,ICICI Prudential Banking & Financial Services Fund - Direct Plan (G),HIGH
12,ICICI Prudential Blended Plan - B Institutional Option (G),MODERATE
13,ICICI Prudential Blended Plan - A (G),MODERATE
14,ICICI Prudential Blended Plan - B (G),MODERATE
15,ICICI Prudential Blended Plan - A - Direct Plan (G),MODERATE
16,ICICI Prudential Blended Plan - B - Direct Plan (G),MODERATE
17,ICICI Prudential Advisor Series - Cautious Plan (G),MODERATELY HIGH
18,ICICI Prudential Advisor Series - Cautious Plan - Direct Plan (G),MODERATELY HIGH
19,ICICI Prudential Child Care Plan - Gift Plan,MODERATELY HIGH
20,ICICI Prudential Child Care Plan - Gift Plan - Direct Plan,MODERATELY HIGH
21,ICICI Prudential Child Care Plan - Study Plan,MODERATELY HIGH
22,ICICI Prudential Child Care Plan - Study Plan - Direct Plan,MODERATELY HIGH
23,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan (G),MODERATE
24,ICICI Prudential Constant Maturity Gilt Fund - Regular Plan (G),MODERATE
25,ICICI Prudential Corporate Bond Fund (G),MODERATE
26,ICICI Prudential Corporate Bond Fund B (G),MODERATE
27,ICICI Prudential Corporate Bond Fund C (G),MODERATE
28,ICICI Prudential Corporate Bond Fund - Direct Plan (G),MODERATE
29,ICICI Prudential Capital Protection Oriented Fund - Series I (24 Mths) (G),N.A
30,ICICI Prudential Capital Protection Oriented Fund - Series II (24 Mths) (G),N.A
31,ICICI Prudential Capital Protection Oriented Fund -Series III (36 Mths) (G),N.A
32,ICICI Prudential Capital Protection Oriented Fund -Series IV (36 Mths) (G),MODERATE
33,ICICI Prudential Capital Protection Oriented Fund -Series V (60 Mths) (G),MODERATE
34,ICICI Prudential Capital Protection Oriented Fund II - Series VI (24M) (G),MODERATE
35,ICICI Prudential Capital Protection Oriented Fund II - Sr XI (12M) (G),N.A
36,ICICI Prudential Capital Protection Oriented Fund II - Sr XII (12M) (G),N.A
37,ICICI Prudential Capital Protection Oriented Fund II - Sr XIII (12M) (G),N.A
38,ICICI Prudential Capital Protection Oriented Fund II - Series VII (24M) (G),MODERATE
39,ICICI Prudential Capital Protection Oriented Fund II - Sr VIII (24M) (G),MODERATE
40,ICICI Prudential Capital Protection Oriented Fund II - Sr IX (36M) (G),MODERATE
41,ICICI Prudential Capital Protection Oriented Fund II -Series X (36M) (G),MODERATE
42,ICICI Prudential Capital Protection Oriented - Sr III Plan A (36 Mths) (G),MODERATE
43,ICICI Prudential Capital Protection Oriented - Sr III Plan C (36 Mths) (G),MODERATE
44,ICICI Prudential Capital Protection Oriented-Sr III Plan F (36M) (G),MODERATE
45,ICICI Prudential Capital Protection Oriented-Sr III Plan F (36M)-Direct (G),MODERATE
46,ICICI Prudential Capital Protection Oriented-Sr III Plan G (60M) (G),MODERATE
47,ICICI Prudential Capital Protection Oriented-Sr III Plan G (60M)-Direct (G),MODERATE
48,ICICI Prudential Capital Protection Oriented-Sr III Plan H (60M) (G),MODERATE
49,ICICI Prudential Capital Protection Oriented-Sr III Plan H (60M)-Direct (G),MODERATE
50,ICICI Prudential Capital Protection Oriented-Sr IV Plan D (60M)-Direct (G),MODERATELY LOW
51,ICICI Prudential Capital Protection Oriented-Sr IV Plan D (60M)-Regular (G),MODERATELY LOW
52,ICICI Prudential Capital Protection Oriented-Sr IV Plan E (36M)-Direct (G),MODERATELY LOW
53,ICICI Prudential Capital Protection Oriented-Sr IV Plan E (36M)-Regular (G),MODERATELY LOW
54,ICICI Prudential Capital Protection Oriented-Sr IV Plan F (60M)-Direct (G),MODERATELY LOW
55,ICICI Prudential Capital Protection Oriented-Sr IV Plan F (60M)-Regular (G),MODERATELY LOW
56,ICICI Prudential Capital Protection Oriented-Sr IV Plan G (60M)-Regular (G),MODERATELY LOW
57,ICICI Prudential Capital Protection Oriented-Sr XI Plan D (1247D)-Direct (G),MODERATELY LOW
58,ICICI Prudential Capital Protection Oriented-Sr XI Plan D (1247D)-Reg (G),MODERATELY LOW
59,ICICI Prudential Capital Protection Oriented-Sr XI Plan E (1222D)-Direct (G),MODERATELY LOW
60,ICICI Prudential Capital Protection Oriented-Sr XI Plan E (1222D)-Reg (G),MODERATELY LOW
61,ICICI Prudential Capital Protection Oriented-Sr XI Plan F (1215D)-Direct (G),MODERATELY LOW
62,ICICI Prudential Capital Protection Oriented-Sr XI Plan F (1215D)-Reg (G),MODERATELY LOW
63,ICICI Prudential Capital Protection Oriented - Sr XII Plan A (1168D) - Direct (G),MODERATELY LOW
64,ICICI Prudential Capital Protection Oriented - Sr XII Plan A (1168D) - Reg (G),MODERATELY LOW
65,ICICI Prudential Capital Protection Oriented - Sr XII Plan B (1289D) - Direct (G),MODERATELY LOW
66,ICICI Prudential Capital Protection Oriented - Sr XII Plan B (1289D) - Reg (G),MODERATELY LOW
67,ICICI Prudential Capital Protection Oriented - Sr XII Plan C (1270D) - Direct (G),MODERATELY LOW
68,ICICI Prudential Capital Protection Oriented - Sr XII Plan C (1270D) - Reg (G),MODERATELY LOW
69,ICICI Prudential Capital Protection Oriented-Sr III Plan D (36M) (G),MODERATE
70,ICICI Prudential Capital Protection Oriented-Sr III Plan D (36M)-Direct (G),MODERATE
71,ICICI Prudential Capital Protection Oriented-Sr III Plan E (60M) (G),MODERATE
72,ICICI Prudential Capital Protection Oriented-Sr III Plan E (60M)-Direct (G),MODERATE
73,ICICI Prudential Dividend Yield Equity Fund - Direct Plan (G),MODERATELY HIGH
74,ICICI Prudential Dividend Yield Equity Fund - Regular Plan (G),MODERATELY HIGH
75,ICICI Prudential Advisor Series - Dynamic Accrual Plan (G),MODERATE
76,ICICI Prudential Advisor Series - Dynamic Accrual Plan - Direct Plan (G),MODERATE
77,ICICI Prudential Dynamic Bond - Direct Plan (G),MODERATE
78,ICICI Prudential Dynamic Bond - Premium Plan (G),MODERATE
79,ICICI Prudential Dynamic Bond - Premium Plus Plan (G),MODERATE
80,ICICI Prudential Dynamic Bond - Regular Plan (G),MODERATE
81,ICICI Prudential Dynamic Plan (G),MODERATELY HIGH
82,ICICI Prudential Dynamic Plan - Direct Plan (G),MODERATELY HIGH
83,ICICI Prudential Dynamic Plan - Institutional Option - I ,MODERATELY HIGH
84,ICICI Prudential Dynamic Plan - Institutional Plan (G),MODERATELY HIGH
85,ICICI Prudential Equity Arbitrage Fund - Direct Plan (G),MODERATE
86,ICICI Prudential Equity Income Fund - Direct Plan (G),MODERATELY HIGH
87,ICICI Prudential Equity Income Fund - Regular Plan (G),MODERATELY HIGH
88,ICICI Prudential Equity Savings Fund - Series 1 - Direct Plan (G),MODERATELY HIGH
89,ICICI Prudential Equity Savings Fund - Series 1 (G),MODERATELY HIGH
90,ICICI Prudential Equity-Arbitrage Fund - Institutional Plan (G),MODERATE
91,ICICI Prudential Equity-Arbitrage Fund - Retail Plan (G),MODERATE
92,ICICI Prudential Exports and Other Services Fund - Direct Plan (G),HIGH
93,ICICI Prudential Exports and Other Services Fund (G),HIGH
94,ICICI Prudential Flexible Income Plan - Retail Plan (G),MODERATELY LOW
95,ICICI Prudential Flexible Income Plan (G),MODERATELY LOW
96,ICICI Prudential Flexible Income Plan - Direct Plan (G),MODERATELY LOW
97,ICICI Prudential FMCG Fund (G),HIGH
98,ICICI Prudential FMCG Fund - Direct Plan (G),HIGH
99,ICICI Prudential FMP - Series 80 - 1118 Days Plan X - Direct Plan (G),MODERATE
100,ICICI Prudential FMP - Series 80 - 1118 Days Plan X - Regular Plan (G),MODERATE
