,Plan_name,riskometer
0,CPSE Exchange Traded Fund,HIGH
1,Goldman Sachs CNX 500 Fund (G),MODERATELY HIGH
2,Goldman Sachs CNX 500 Fund - Direct Plan (G),MODERATELY HIGH
3,Goldman Sachs India Equity Fund (G),MODERATELY HIGH
4,Goldman Sachs India Equity Fund - Direct Plan (G),MODERATELY HIGH
5,Goldman Sachs Short Term Fund (G),MODERATELY LOW
6,Goldman Sachs Short Term Fund - Direct Plan (G),MODERATELY LOW
7,R*Shares Gold ETF,MODERATELY HIGH
8,R*Shares Nifty ETF ,MODERATELY HIGH
9,Reliance Arbitrage Advantage Fund - Direct Plan (G),MODERATELY LOW
10,Reliance Arbitrage Advantage Fund (G),MODERATELY LOW
11,Reliance Banking & PSU Debt Fund (G),MODERATE
12,Reliance Banking & PSU Debt Fund - Direct Plan (G),MODERATE
13,Reliance Banking Fund (G),HIGH
14,Reliance Banking Fund - Direct Plan (G),HIGH
15,Reliance Capital Builder Fund II - Series A (G),HIGH
16,Reliance Capital Builder Fund II - Series A - Direct Plan (G),HIGH
17,Reliance Capital Builder Fund II - Series B (G),HIGH
18,Reliance Capital Builder Fund II - Series B - Direct Plan (G),HIGH
19,Reliance Capital Builder Fund II - Series C (G),HIGH
20,Reliance Capital Builder Fund II - Series C - Direct Plan (G),HIGH
21,Reliance Capital Builder Fund III - Series A (G),HIGH
22,Reliance Capital Builder Fund III - Series A - Direct Plan (G),HIGH
23,Reliance Capital Builder Fund - Series A (G),MODERATE
24,Reliance Capital Builder Fund - Series A - Direct Plan (G),MODERATE
25,Reliance Capital Builder Fund - Series B (G),LOW
26,Reliance Capital Builder Fund - Series B - Direct Plan (G),LOW
27,Reliance Capital Builder Fund - Series C (G),HIGH
28,Reliance Capital Builder Fund - Series C - Direct Plan (G),HIGH
29,Reliance Close Ended Equity Fund -  Series A (G),HIGH
30,Reliance Close Ended Equity Fund -  Series A - Direct Plan (G),HIGH
31,Reliance Close Ended Equity Fund -  Series B (G),HIGH
32,Reliance Close Ended Equity Fund -  Series B - Direct Plan (G),HIGH
33,Reliance Close Ended Equity Fund II -  Series A (G),HIGH
34,Reliance Close Ended Equity Fund II -  Series A - Direct Plan (G),HIGH
35,Reliance Corporate Bond Fund - Direct Plan (G),MODERATE
36,Reliance Corporate Bond Fund (G),MODERATE
37,Reliance Diversified Power Sector Fund - Retail Plan (G),HIGH
38,Reliance Diversified Power Sector Fund - Direct Plan (G),HIGH
39,Reliance Dynamic Bond Fund (G),MODERATE
40,Reliance Dynamic Bond Fund - Direct Plan (G),MODERATE
41,Reliance Equity Linked Saving Fund - Series I (G),N.A
42,Reliance Equity Opportunities Fund - Institutional Plan (G),MODERATELY HIGH
43,Reliance Equity Opportunities Fund - Retail Plan (G),MODERATELY HIGH
44,Reliance Equity Opportunities Fund - Direct Plan (G),MODERATELY HIGH
45,Reliance Equity Savings Fund (G),MODERATELY HIGH
46,Reliance Equity Savings Fund - Direct Plan (G),MODERATELY HIGH
47,Reliance ETF Bank BeES,HIGH
48,Reliance ETF Consumption,HIGH
49,Reliance ETF Dividend Opportunities,HIGH
50,Reliance ETF Gold BeES,MODERATELY HIGH
51,Reliance ETF Hang Seng BeES,HIGH
52,Reliance ETF Infra BeES,HIGH
53,Reliance ETF Junior BeES,MODERATELY HIGH
54,Reliance ETF Liquid BeES,LOW
55,Reliance ETF Long Term Gilt,MODERATE
56,Reliance ETF Nifty 100,MODERATELY HIGH
57,Reliance ETF Nifty BeES,MODERATELY HIGH
58,Reliance ETF NV20,MODERATELY HIGH
59,Reliance ETF PSU Bank BeES,HIGH
60,Reliance ETF Sensex,MODERATELY HIGH
61,Reliance ETF Shariah BeES,MODERATELY HIGH
62,Reliance Floating Rate Fund - Short Term Plan (G),MODERATELY LOW
63,Reliance Floating Rate Fund - Short Term Plan - Direct Plan (G),MODERATELY LOW
64,Reliance Focused Large Cap Fund - Retail Plan (G),MODERATELY HIGH
65,Reliance Focused Large Cap Fund - Direct Plan (G),MODERATELY HIGH
66,Reliance Gilt Securities Fund - Direct Plan (G),MODERATE
67,Reliance Gilt Securities Fund - Institutional Plan (G),MODERATE
68,Reliance Gilt Securities Fund - Retail Plan (G),MODERATE
69,Reliance Gilt Securities Fund - Direct Plan (Bonus),MODERATE
70,Reliance Gilt Securities Fund - Retail Plan (Bonus),MODERATE
71,Reliance Gold Savings Fund - Direct Plan (G),MODERATELY HIGH
72,Reliance Gold Savings Fund (G),MODERATELY HIGH
73,Reliance Growth Fund - Retail Plan (G),MODERATELY HIGH
74,Reliance Growth Fund - Direct Plan (G),MODERATELY HIGH
75,Reliance Income Fund (G),MODERATE
76,Reliance Income Fund - Direct Plan (G),MODERATE
77,Reliance Index Fund - Nifty Plan - Direct Plan (G),MODERATELY HIGH
78,Reliance Index Fund - Sensex Plan - Direct Plan (G),MODERATELY HIGH
79,Reliance Index Fund - Nifty Plan (G),MODERATELY HIGH
80,Reliance Index Fund - Sensex Plan (G),MODERATELY HIGH
81,Reliance Japan Equity Fund (G),HIGH
82,Reliance Japan Equity Fund - Direct Plan (G),HIGH
83,Reliance Liquid Fund - Cash Plan (G) ,LOW
84,Reliance Liquid Fund - Cash Plan - Direct Plan (G) ,LOW
85,Reliance Liquid Fund - Treasury Plan - Direct Plan (G),LOW
86,Reliance Liquid Fund - Treasury Plan - IP (G),LOW
87,Reliance Liquid Fund - Treasury Plan (G),LOW
88,Reliance Liquidity Fund - Direct Plan (G) ,LOW
89,Reliance Liquidity Fund (G) ,LOW
90,Reliance Media & Entertainment Fund - Direct Plan (G),HIGH
91,Reliance Media & Entertainment Fund (G),HIGH
92,Reliance Medium Term Fund - Direct Plan (G),MODERATELY LOW
93,Reliance Medium Term Fund (G),MODERATELY LOW
94,Reliance Mid & Small Cap Fund - Direct Plan (G),MODERATELY HIGH
95,Reliance Mid & Small Cap Fund (G),MODERATELY HIGH
96,Reliance Monthly Income Plan (G),MODERATE
97,Reliance Monthly Income Plan - Direct Plan (G),MODERATE
98,Reliance Money Manager Fund (G),MODERATELY LOW
99,Reliance Money Manager Fund - Direct Plan (G),MODERATELY LOW
100,Reliance Money Manager Fund - Retail Plan (G),MODERATELY LOW
101,Reliance NRI Equity Fund - Direct Plan (G),MODERATELY HIGH
102,Reliance NRI Equity Fund (G),MODERATELY HIGH
103,Reliance Pharma Fund (G),HIGH
104,Reliance Pharma Fund - Direct Plan (G),HIGH
105,Reliance Quant Plus Fund - Direct Plan (G),MODERATELY HIGH
106,Reliance Quant Plus Fund - Retail Plan (G),MODERATELY HIGH
107,Reliance Retirement Fund - Income Generation Scheme (G),MODERATELY HIGH
108,Reliance Retirement Fund - Income Generation Scheme - Direct Plan (G),MODERATELY HIGH
109,Reliance Retirement Fund - Wealth Creation Scheme (G),MODERATELY HIGH
110,Reliance Retirement Fund - Wealth Creation Scheme - Direct Plan (G),MODERATELY HIGH
111,Reliance Regular Savings Fund - Balanced Option (G),MODERATELY HIGH
112,Reliance Regular Savings Fund - Balanced Option - Direct Plan (G),MODERATELY HIGH
113,Reliance Regular Savings Fund - Debt Option - Direct Plan (G),MODERATE
114,Reliance Regular Savings Fund - Debt Option - Institutional Plan (G),MODERATE
115,Reliance Regular Savings Fund - Debt Option - Retail Plan (G),MODERATE
116,Reliance Regular Savings Fund - Equity Option (G),MODERATELY HIGH
117,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),MODERATELY HIGH
118,Reliance Short Term Fund - Direct Plan (G),MODERATELY LOW
119,Reliance Short Term Fund (G),MODERATELY LOW
120,Reliance Small Cap Fund - Direct Plan (G),MODERATELY HIGH
121,Reliance Small Cap Fund (G),MODERATELY HIGH
122,Reliance Tax Saver (ELSS) Fund (G),MODERATELY HIGH
123,Reliance Tax Saver (ELSS) Fund - Direct Plan (G),MODERATELY HIGH
124,Reliance Top 200 Fund - Direct Plan (G),MODERATELY HIGH
125,Reliance Top 200 Fund - Retail Plan (G),MODERATELY HIGH
126,Reliance US Equity Opportunities Fund  (G),HIGH
127,Reliance US Equity Opportunities Fund - Direct Plan (G),HIGH
128,Reliance Vision Fund - Direct Plan (D),MODERATELY HIGH
129,Reliance Vision Fund - Retail Plan (G),MODERATELY HIGH
