,Plan_name,riskometer
0,SBI - ETF BSE 100  ,MODERATELY HIGH
1,SBI - ETF Gold,MODERATELY HIGH
2,SBI - ETF Nifty 50,MODERATELY HIGH
3,SBI - ETF Nifty Bank,MODERATELY HIGH
4,SBI - ETF Nifty Next 50,MODERATELY HIGH
5,SBI - ETF Sensex,MODERATELY HIGH
6,SBI Arbitrage Opportunities Fund - Direct Plan (G),MODERATELY LOW
7,SBI Arbitrage Opportunities Fund (G),MODERATELY LOW
8,SBI Magnum Balanced Fund - Direct Plan (G),MODERATELY HIGH
9,SBI Banking & Financial Services Fund - Direct Plan (G),HIGH
10,SBI Banking & Financial Services Fund - Regular Plan (G),HIGH
11,SBI Benchmark G Sec Fund (G),MODERATE
12,SBI Benchmark G Sec Fund - Direct Plan (G),MODERATE
13,SBI Blue Chip Fund (G),MODERATELY HIGH
14,SBI Blue Chip Fund - Direct Plan (G),MODERATELY HIGH
15,SBI Capital Protection Oriented Fund - Series II,LOW
16,SBI Capital Protection Oriented Fund - Series III,LOW
17,SBI Magnum Childrens Benefit Plan - Direct Plan,MODERATELY HIGH
18,SBI Contra Fund (G),MODERATELY HIGH
19,SBI Contra Fund - Direct Plan (G),MODERATELY HIGH
20,SBI Corporate Bond Fund (G),MODERATE
21,SBI Corporate Bond Fund - Direct Plan (G),MODERATE
22,SBI Debt Fund Series B - 47 (365 Days) - Direct Plan (G),MODERATE
23,SBI Debt Fund Series B - 47 (365 Days) - Regular Plan (G),MODERATE
24,SBI Debt Fund Series B - 48 (91 Days) - Direct Plan (G),MODERATE
25,SBI Debt Fund Series B - 48 (91 Days) - Regular Plan (G),MODERATE
26,SBI Debt Fund Series B - 49 (1170 Days) - Direct Plan (G),MODERATE
27,SBI Debt Fund Series B - 49 (1170 Days) - Regular Plan (D),MODERATE
28,SBI Debt Fund Series B - 50 (1165 Days) - Direct Plan (G),MODERATE
29,SBI Debt Fund Series B - 50 (1165 Days) - Regular Plan (G),MODERATE
30,SBI Debt Fund Series C - 1 (1100 Days) - Direct Plan (G),MODERATE
31,SBI Debt Fund Series C - 1 (1100 Days) - Regular Plan (G),MODERATE
32,SBI Debt Fund Series C - 2 (1100 Days) - Direct Plan (G),MODERATE
33,SBI Debt Fund Series C - 2 (1100 Days) - Regular Plan (G),MODERATE
34,SBI Debt Fund Series C - 7 (1190 Days) - Direct Plan (G),MODERATE
35,SBI Debt Fund Series C - 7 (1190 Days) - Regular Plan (G),MODERATE
36,SBI Dynamic Asset Allocation Fund - Direct Plan (G),MODERATELY HIGH
37,SBI Dynamic Asset Allocation Fund - Regular Plan (G),MODERATELY HIGH
38,SBI Dynamic Bond Fund (G),MODERATE
39,SBI Dynamic Bond Fund - Direct Plan (G),MODERATE
40,SBI EDGE Fund (G),MODERATELY HIGH
41,SBI EDGE Fund - Direct Plan (G),MODERATELY HIGH
42,SBI Emerging Businesses Fund (G),MODERATELY HIGH
43,SBI Emerging Businesses Fund - Direct Plan (G),MODERATELY HIGH
44,SBI Equity Opportunities Fund - Series I - Direct Plan (G),LOW
45,SBI Equity Opportunities Fund - Series I - Regular Plan (G),LOW
46,SBI Equity Opportunities Fund - Series II - Direct Plan (G),HIGH
