,Plan_name,riskometer
0,Sundaram Balanced Fund - Regular Plan (G),MODERATELY HIGH
1,Sundaram Balanced Fund - Direct Plan (G),MODERATELY HIGH
2,Sundaram Banking & PSU Debt Fund - Direct Plan (G),MODERATE
3,Sundaram Banking & PSU Debt Fund - Regular Plan (G),MODERATE
4,Sundaram Bond Saver (G),MODERATE
5,Sundaram Bond Saver - Institutional Plan (G),MODERATE
6,Sundaram Bond Saver - Direct Plan (G),MODERATE
7,Sundaram Capital Protection Oriented Fund-Series 1 - 2 yrs (G),LOW
8,Sundaram Capital Protection Oriented Fund-Series 2 - 2 yrs (G),LOW
9,Sundaram Capital Protection Oriented Fund-Series 2 - 3 yrs (G),LOW
10,Sundaram Capital Protection Oriented Fund-Series 2 - 5 yrs (G),LOW
11,Sundaram Capital Protection Oriented Fund-Series 3 - 2 yrs (G),LOW
12,Sundaram Capital Protection Oriented Fund-Series 3 - 3 yrs (G),LOW
13,Sundaram Capital Protection Oriented Fund-Series 3 - 5 yrs (G),LOW
14,Sundaram Capital Protection Oriented Fund-Series 4 - 2 yrs (G),LOW
15,Sundaram Capital Protection Oriented Fund-Series 4 - 3 yrs (G),LOW
16,Sundaram Capital Protection Oriented Fund-Series 4 - 5 yrs (G),LOW
17,Sundaram Capital Protection Oriented Fund-Series 5 - 3 yrs (G),LOW
18,Sundaram Capital Protection Oriented Fund-Series 6 - 3 yrs (G),LOW
19,Sundaram Capital Protection Oriented Fund-Series 7 - 3 yrs (G),LOW
20,Sundaram Capital Protection Oriented Fund - Series 9 - 3 yrs (G),LOW
21,Sundaram Capital Protection Oriented Fund-Series I - 5 yrs (G),N.A
22,Sundaram Select Debt - Short Term Asset Plan (G),MODERATELY LOW
23,Sundaram Select Debt - Short Term Asset Plan - Direct Plan (G),MODERATELY LOW
24,Sundaram Diversified Equity (G),MODERATELY HIGH
25,Sundaram Diversified Equity - Direct Plan (G),MODERATELY HIGH
26,Sundaram Equity Multiplier Fund - Direct Plan (G),MODERATELY HIGH
27,Sundaram Equity Multiplier Fund (G),MODERATELY HIGH
28,Sundaram Equity Plus (G),MODERATELY HIGH
29,Sundaram Equity Plus - Direct Plan (G),MODERATELY HIGH
30,Sundaram Fixed Income Interval Fund-Quarterly Series-Plan C - Direct (G),LOW
31,Sundaram Fixed Income Interval Fund-Quarterly Series-Plan C - Regular (G),LOW
32,Sundaram Financial Services Opportunities - Direct Plan (G),HIGH
33,Sundaram Financial Services Opportunities - Inst. Plan (G),HIGH
34,Sundaram Financial Services Opportunities - Retail Plan (G),HIGH
35,Sundaram Flexible Fund - Short Term Plan - Regular Plan (G),MODERATELY LOW
36,Sundaram Flexible Fund - Short Term Plan - Retail Plan (G),MODERATELY LOW
37,Sundaram Flexible Fund - Short Term Plan - Direct Plan (G),MODERATELY LOW
38,Sundaram Flexible Fund - Flexible Income - Regular Plan (G),MODERATE
39,Sundaram Flexible Fund - Flexible Income - Direct Plan (G),MODERATE
40,Sundaram Fixed Term Plan - Series HV (1155 Days) - Direct Plan (G),MODERATE
41,Sundaram Fixed Term Plan - Series HV (1155 Days) - Regular Plan (G),MODERATE
42,Sundaram Fixed Term Plan - Series IC (1206 Days) - Direct Plan (G),MODERATE
43,Sundaram Fixed Term Plan - Series IC (1206 Days) - Regular Plan (G),MODERATE
44,Sundaram Gilt Fund (G),MODERATE
45,Sundaram Gilt Fund - Direct Plan (G),MODERATE
46,Sundaram Global Advantage - Direct Plan (G),HIGH
47,Sundaram Global Advantage (G),HIGH
48,Sundaram Hybrid Fund - Series A (3 Year) - Direct Plan (G),MODERATE
49,Sundaram Hybrid Fund - Series A (3 Year) - Regular Plan (G),MODERATE
50,Sundaram Hybrid Fund - Series B (3 Year) - Direct Plan (G),MODERATE
51,Sundaram Hybrid Fund - Series B (3 Year) - Regular Plan (G),MODERATE
52,Sundaram Income Plus (G),MODERATE
53,Sundaram Income Plus - Direct Plan (G),MODERATE
54,Sundaram Infrastructure Advantage Fund - Direct Plan (G),HIGH
55,Sundaram Infrastructure Advantage Fund - Regular Plan (G),HIGH
56,Sundaram Long Term Tax Advantage Fund - Series - III - Direct Plan (G),MODERATELY HIGH
57,Sundaram Long Term Tax Advantage Fund - Series - III - Regular Plan (G),MODERATELY HIGH
58,Sundaram Long Term Tax Advantage Fund - Series - I - Direct Plan (G),HIGH
59,Sundaram Long Term Tax Advantage Fund - Series - I - Regular Plan (G),HIGH
60,Sundaram Long Term Tax Advantage Fund - Series - II - Direct Plan (G),MODERATELY HIGH
61,Sundaram Long Term Tax Advantage Fund - Series - II - Regular Plan (G),MODERATELY HIGH
62,Sundaram Monthly Income Plan - Moderate Plan (G),MODERATE
63,Sundaram Monthly Income Plan - Aggressive Plan (G),MODERATELY HIGH
64,Sundaram Monthly Income Plan - Aggressive Plan - Direct Plan (G),MODERATELY HIGH
65,Sundaram Monthly Income Plan - Conservative Plan (G),MODERATE
66,Sundaram Monthly Income Plan - Conservative Plan - Direct Plan (G),MODERATE
67,Sundaram Monthly Income Plan - Moderate Plan - Direct Plan (G),MODERATE
68,Sundaram Money Fund - Institutional Plan (G),LOW
69,Sundaram Money Fund (G),LOW
70,Sundaram Money Fund - Regular Plan (G),LOW
71,Sundaram Money Fund - Direct Plan (G),LOW
72,Sundaram PSU Opportunities Fund - Direct Plan (G),HIGH
73,Sundaram PSU Opportunities Fund (G),HIGH
74,Sundaram Rural India Fund - Direct Plan (G),MODERATELY HIGH
75,Sundaram Rural India Fund (G),MODERATELY HIGH
76,Sundaram Select Focus - Institutional Plan (G),MODERATELY HIGH
77,Sundaram Select Focus - Retail Plan (G),MODERATELY HIGH
78,Sundaram Select Focus - Direct Plan (G),MODERATELY HIGH
79,Sundaram Select Micro Cap - Series I - Direct Plan (G),HIGH
80,Sundaram Select Micro Cap - Series I - Regular Plan (G),HIGH
81,Sundaram Select Micro Cap - Series X  - Direct Plan (G),MODERATELY HIGH
82,Sundaram Select Micro Cap - Series X  - Regular Plan (G),MODERATELY HIGH
83,Sundaram Select Micro Cap - Series XI  - Direct Plan (G),MODERATELY HIGH
84,Sundaram Select Micro Cap - Series XI  - Regular Plan (G),MODERATELY HIGH
85,Sundaram Select Micro Cap - Series XII  - Direct Plan (G),MODERATELY HIGH
