,Plan_name,riskometer
0,Tata Balanced Fund - Direct Plan (G),MODERATELY HIGH
1,Tata Balanced Fund - Regular Plan (G),MODERATELY HIGH
2,Tata Banking and Financial Services Fund - Direct Plan (G),MODERATELY HIGH
3,Tata Banking and Financial Services Fund - Regular Plan (G),MODERATELY HIGH
4,Tata Corporate Bond Fund - Regular Plan (G),MODERATELY LOW
5,Tata Corporate Bond Fund - Direct Plan (G),MODERATELY LOW
6,Tata Corporate Bond Fund - Regular Investment Plan (G),MODERATELY LOW
7,Tata Corporate Bond Fund - Super High Investment Plan (G),MODERATELY LOW
8,Tata Capital Protection Oriented Fund - Series I (3 Years) (G),N.A
9,Tata Capital Protection Oriented Fund - Series II (3 Years) (G),N.A
10,Tata Digital India Fund - Direct Plan (G),MODERATELY HIGH
11,Tata Digital India Fund - Regular Plan (G),MODERATELY HIGH
12,Tata Dividend Yield Fund - Direct Plan (G),MODERATELY HIGH
13,Tata Dividend Yield Fund - Regular Plan (G),MODERATELY HIGH
14,Tata Dynamic Bond Fund - Regular Plan (G),MODERATE
15,Tata Dynamic Bond Fund - Direct Plan (G),MODERATE
16,Tata Dynamic Bond Fund - Plan B (G),MODERATE
17,Tata Equity Management Fund - Direct Plan (G),N.A
18,Tata Equity Opportunities Fund - Direct Plan (G),MODERATELY HIGH
19,Tata Equity Opportunities Fund - Regular Plan (G),MODERATELY HIGH
20,Tata Equity P/E Fund - Regular Plan (G),MODERATELY HIGH
21,Tata Equity P/E Fund - Direct Plan (G),MODERATELY HIGH
22,Tata Ethical Fund (G),MODERATELY HIGH
23,Tata Ethical Fund - Direct Plan (G),MODERATELY HIGH
24,TATA Fixed Income Portfolio Fund - Scheme C2 - Plan A (G),LOW
25,TATA Fixed Income Portfolio Fund - Scheme C2 - Regular Plan (G),LOW
26,TATA Fixed Income Portfolio Fund - Scheme C3 - Plan A (G),LOW
27,TATA Fixed Income Portfolio Fund - Scheme C3 - Regular Plan (G),LOW
28,Tata Floating Rate Fund - Long Term Plan (G),LOW
29,Tata Floating Rate Fund - Long Term Plan - Direct Plan (G),LOW
30,Tata Gilt High Fund (G),N.A
31,Tata Gilt Mid Term Fund - Direct Plan (G),MODERATE
32,Tata Gilt Mid Term Fund (G),MODERATE
33,Tata Gilt Retirement Plan (28/02/13 Maturity) (G),N.A
34,Tata Gilt Retirement Plan (28/02/25 Maturity) (G),N.A
35,Tata Gilt Securities - Short Maturity Fund (G),MODERATE
36,Tata Gilt Securities - Short Maturity Fund - Direct Plan (G),MODERATE
37,Tata Gilt Securities Fund (G),MODERATE
38,Tata Gilt Securities Fund - Direct Plan (G),MODERATE
39,Tata Growing Economies Infrastructure Fund - Plan B (G),HIGH
40,Tata Growing Economies Infrastructure Fund - Regular (G),HIGH
41,Tata Growing Economies Infrastructure Fund - Direct Plan (G),HIGH
42,Tata Growing Economies Infrastructure Fund - Direct Plan - Plan B (G),HIGH
43,Tata Income Fund - Direct Plan (G),MODERATE
44,Tata Index Fund - Nifty Plan - Direct Plan,HIGH
45,Tata Index Fund - Nifty - Regular Plan,HIGH
46,Tata Index Fund - Sensex Plan - Direct Plan,HIGH
47,Tata Index Fund - Sensex - Regular Plan,HIGH
48,Tata India Consumer Fund - Direct Plan (G),MODERATELY HIGH
49,Tata India Consumer Fund - Regular Plan (G),MODERATELY HIGH
50,Tata India Pharma & HealthCare Fund - Regular Plan (G),MODERATELY HIGH
51,Tata India Pharma & HealthCare Fund - Direct Plan (G),MODERATELY HIGH
52,Tata India Tax Savings Fund - Direct Plan (G),MODERATELY HIGH
53,Tata India Tax Savings Fund - Regular Plan (G),MODERATELY HIGH
54,Tata Indo-Global Infrastructure Fund (G),HIGH
55,Tata Indo-Global Infrastructure Fund - Direct Plan (G),HIGH
56,Tata Infrastructure Tax Saving Fund (G),N.A
57,Tata Infrastructure Fund - Direct Plan (G),HIGH
58,Tata Infrastructure Fund - Regular Plan (G),HIGH
59,Tata Large Cap Fund - Regular Plan (G),MODERATELY HIGH
60,Tata Large Cap Fund - Direct Plan (G),MODERATELY HIGH
61,Tata Liquid Fund (G),LOW
62,Tata Liquid Fund - Direct Plan (G),LOW
63,Tata Liquid Fund - High Investment Plan (G),LOW
64,Tata Liquid Fund - Regular Plan (G),LOW
65,Tata Liquid - Super High Institutional Plus Plan (G),LOW
66,Tata Liquidity Management Fund - Direct Plan (G),LOW
67,Tata Liquidity Management Fund - Regular Plan (G),LOW
68,Tata Long Term Debt Fund - Regular Plan (G),N.A
69,Tata Medium Term Fund - Direct Plan (G),MODERATE
70,Tata Medium Term Fund - Plan B (G),MODERATE
71,Tata Medium Term Fund - Regular Plan (G),MODERATE
72,Tata Mid Cap Growth Fund - Direct Plan (G),MODERATELY HIGH
73,Tata Mid Cap Growth Fund (G),MODERATELY HIGH
74,Tata MIP Plus Fund (G),MODERATE
75,Tata MIP Plus Fund - Direct Plan (G),MODERATE
76,Tata Money Market Fund (G),LOW
77,Tata Money Market Fund - Regular Plan (G),LOW
78,Tata Money Market Fund - Direct Plan (G),LOW
79,Tata Regular Saving Equity Fund (G),MODERATELY HIGH
80,Tata Regular Saving Equity Fund - Direct Plan (G),MODERATELY HIGH
81,Tata Resources & Energy Fund - Direct Plan (G),MODERATELY HIGH
82,Tata Resources & Energy Fund - Regular Plan (G),MODERATELY HIGH
83,Tata Retirement Savings Fund - Conservative Plan ,MODERATELY HIGH
84,Tata Retirement Savings Fund - Moderate Plan ,MODERATELY HIGH
85,Tata Retirement Savings Fund - Progresive Plan ,MODERATELY HIGH
86,Tata Retirement Savings Fund - Conservative Plan - Direct Plan (G) ,MODERATELY HIGH
87,Tata Retirement Savings Fund - Moderate Plan - Direct Plan (G),MODERATELY HIGH
88,Tata Retirement Savings Fund - Progresive Plan,MODERATELY HIGH
89,Tata Short Term Bond Fund - Direct Plan (G),MODERATELY LOW
90,Tata Short Term Bond Fund - Regular Plan (G),MODERATELY LOW
91,Tata SIP Fund Series 3 (36 month) (G),N.A
92,Tata Ultra Short Term Fund - Direct Plan (G),MODERATELY LOW
93,Tata Ultra Short Term Fund - Regular Plan (G),MODERATELY LOW
94,Tata Young Citizens Fund (3 to 7 years) - Direct Plan ,MODERATE
95,Tata Young Citizens Fund (3 to 7 years) - Regular Plan ,MODERATE
96,Tata Young Citizens Fund (Upto 3 years) - Direct Plan ,MODERATE
97,Tata Young Citizens Fund (Upto 3 years) - Regular Plan ,MODERATE
98,Tata Young Citizens Fund (After 7 years) - Direct Plan ,MODERATELY HIGH
99,Tata Young Citizens Fund (After 7 years) - Regular Plan,MODERATELY HIGH
